Codi,Literal,1,2,3,4,5,6 i més,Total llars
259118,"Plans de Sió, els",40,35,43,36,13,15,182
251689,"Poal, el",36,65,43,46,18,9,217
251692,"Pobla de Cérvoles, la",34,31,11,13,6,2,97
81653,"Pobla de Claramunt, la",142,171,124,143,53,15,648
81666,"Pobla de Lillet, la",156,161,136,74,19,6,552
431093,"Pobla de Mafumet, la",66,89,78,103,37,17,390
431107,"Pobla de Massaluca, la",26,35,32,22,9,17,141
431114,"Pobla de Montornès, la",150,202,108,93,23,23,599
251713,"Pobla de Segur, la",353,305,223,165,61,16,1123
431129,Poboleda,36,45,28,13,11,5,138
81672,Polinyà,231,504,387,437,126,55,1740
431135,"Pont d'Armentera, el",48,63,47,30,12,5,205
250306,"Pont de Bar, el",21,18,13,8,5,1,66
171352,Pont de Molins,39,42,29,33,12,6,161
251734,"Pont de Suert, el",215,206,162,147,44,19,793
81825,"Pont de Vilomara i Rocafort, el",169,264,226,195,67,31,952
431418,Pontils,13,14,9,2,5,5,48
81688,Pontons,47,39,33,28,9,5,161
171365,Pontós,22,21,17,17,8,0,85
251728,Ponts,196,205,160,177,70,38,846
171371,Porqueres,138,255,268,284,138,62,1145
431140,Porrera,57,43,35,31,14,3,183
171404,"Port de la Selva, el",121,84,52,52,12,7,328
171387,Portbou,188,173,118,85,24,8,596
251749,"Portella, la",54,61,44,44,17,9,229
431153,Pradell de la Teixeta,29,15,8,11,10,2,75
431166,Prades,73,69,41,33,13,5,234
431172,Prat de Comte,20,21,16,13,4,1,75
81691,"Prat de Llobregat, el",3311,5728,5325,4937,1376,638,21315
431188,Pratdip,66,66,42,30,12,4,220
81712,Prats de Lluçanès,143,227,228,204,64,34,900
81705,"Prats de Rei, els",53,50,40,40,12,4,199
251752,Prats i Sansor,29,12,22,9,7,2,81
251765,Preixana,24,48,23,26,14,10,145
251771,Preixens,45,38,34,26,16,15,174
82303,Premià de Dalt,395,672,711,775,253,124,2930
81727,Premià de Mar,1515,2532,2183,2017,613,295,9155
171390,"Preses, les",81,136,125,102,35,27,506
251790,Prullans,28,16,16,12,4,5,81
171411,Puigcerdà,713,632,585,492,158,81,2661
81748,Puigdàlber,25,28,27,21,10,7,118
251804,Puiggròs,32,27,17,25,4,2,107
431191,Puigpelat,39,50,49,54,14,10,216
81751,Puig-reig,318,450,319,305,97,35,1524
251811,Puigverd d'Agramunt,35,19,12,12,10,7,95
251826,Puigverd de Lleida,84,101,76,76,27,17,381
81764,Pujalt,12,15,11,11,4,7,60
81770,"Quar, la",2,8,2,5,1,3,21
171426,Quart,101,181,175,219,74,19,769
170433,Queralbs,29,16,14,15,3,2,79
431205,Querol,51,41,20,10,9,2,133
171432,Rabós,23,23,9,6,5,3,69
81786,Rajadell,37,32,28,27,8,9,141
431212,Rasquera,62,66,46,47,31,21,273
171447,Regencós,29,23,16,26,8,2,104
81799,Rellinars,31,44,34,26,8,5,148
431227,Renau,9,9,3,3,2,0,26
431233,Reus,6086,8321,6865,6871,2172,929,31244
251832,Rialp,64,46,39,33,12,11,205
431248,"Riba, la",72,80,49,49,15,4,269
431251,Riba-roja d'Ebre,118,146,94,82,38,16,494
259059,Ribera d'Ondara,33,37,14,19,20,25,148
251850,Ribera d'Urgellet,69,73,60,51,26,13,292
171450,Ribes de Freser,202,246,158,124,32,28,790
171463,Riells i Viabrea,156,239,167,177,54,23,816
431264,"Riera de Gaià, la",78,115,74,67,24,19,377
251863,Riner,14,19,12,11,5,17,78
171479,Ripoll,847,1208,936,739,195,77,4002
81803,Ripollet,1651,2989,2563,2519,666,225,10613
259139,Riu de Cerdanya,16,3,6,3,3,1,32
171485,Riudarenes,130,150,95,93,19,15,502
171498,Riudaura,28,33,44,17,7,11,140
431270,Riudecanyes,88,92,55,50,14,4,303
431286,Riudecols,84,88,85,84,17,8,366
171501,Riudellots de la Selva,79,100,124,128,49,25,505
431299,Riudoms,316,469,408,413,133,71,1810
171518,Riumors,24,20,16,13,1,4,78
81810,"Roca del Vallès, la",394,695,650,615,202,74,2630
431303,Rocafort de Queralt,40,38,17,11,7,3,116
431310,Roda de Berà,473,459,272,205,64,40,1513
81831,Roda de Ter,250,463,429,422,120,63,1747
431325,Rodonyà,36,45,34,32,11,4,162
431331,Roquetes,416,627,532,484,159,94,2312
171523,Roses,1236,1313,954,900,282,146,4831
251898,Rosselló,79,165,147,137,53,33,614
431346,"Rourell, el",28,28,27,11,7,2,103
81846,Rubí,3231,5784,5092,4894,1372,671,21044
81859,Rubió,5,8,6,4,7,5,35
171539,Rupià,15,22,17,6,6,3,69
89019,Rupit i Pruit,38,26,16,24,10,9,123
81878,Sabadell,11567,19022,15150,14498,3920,1551,65708
81884,Sagàs,7,10,6,10,3,6,42
251902,Salàs de Pallars,42,39,27,13,11,2,134
81901,Saldes,27,22,13,26,11,7,106
171544,Sales de Llierca,8,9,6,6,4,1,34
81918,Sallent,504,699,657,488,146,58,2552
431359,Salomó,39,51,28,24,5,5,152
439057,Salou,1636,1498,1081,940,303,143,5601
171557,Salt,1806,1995,1579,1463,520,288,7651
251919,Sanaüja,59,45,32,25,8,11,180
81944,Sant Adrià de Besòs,2008,3023,2559,2331,750,448,11119
81957,Sant Agustí de Lluçanès,2,6,4,4,6,5,27
81960,Sant Andreu de la Barca,1132,2361,1967,1649,420,189,7718
81976,Sant Andreu de Llavaneres,454,695,607,621,205,84,2666
171576,Sant Andreu Salou,10,11,7,14,3,2,47
171833,Sant Aniol de Finestres,34,24,15,21,6,7,107
81982,Sant Antoni de Vilamajor,234,356,271,305,97,54,1317
81995,Sant Bartomeu del Grau,45,62,62,78,34,37,318
82009,Sant Boi de Llobregat,3829,7304,6816,6500,1699,661,26809
82016,Sant Boi de Lluçanès,35,38,29,35,21,11,169
431362,Sant Carles de la Ràpita,799,1179,960,870,263,113,4184
82037,Sant Cebrià de Vallalta,174,252,151,138,30,18,763
82021,Sant Celoni,748,1081,1001,1028,310,170,4338
82042,Sant Climent de Llobregat,151,298,250,272,72,28,1071
171582,Sant Climent Sescebes,32,57,35,20,8,6,158
82055,Sant Cugat del Vallès,3069,4823,4494,4885,1705,830,19806
82068,Sant Cugat Sesgarrigues,35,54,51,56,23,17,236
251961,Sant Esteve de la Sarga,20,14,5,2,5,2,48
82074,Sant Esteve de Palautordera,107,139,98,119,44,16,523
82080,Sant Esteve Sesrovires,244,466,395,450,118,61,1734
171595,Sant Feliu de Buixalleu,67,69,61,49,14,7,267
82107,Sant Feliu de Codines,363,466,337,320,101,57,1644
171609,Sant Feliu de Guíxols,1515,1786,1389,1299,417,203,6609
82114,Sant Feliu de Llobregat,1974,4124,3449,3329,831,272,13979
171616,Sant Feliu de Pallerols,98,132,96,77,25,11,439
82129,Sant Feliu Sasserra,45,50,39,51,15,18,218
171621,Sant Ferriol,15,11,16,13,6,5,66
82093,Sant Fost de Campsentelles,261,535,536,595,162,83,2172
82135,Sant Fruitós de Bages,275,532,536,481,134,59,2017
171637,Sant Gregori,127,178,181,198,78,36,798
251924,Sant Guim de Freixenet,77,83,69,66,34,19,348
251977,Sant Guim de la Plana,10,15,9,7,5,9,55
171642,Sant Hilari Sacalm,332,471,419,398,115,43,1778
82153,Sant Hipòlit de Voltregà,193,297,246,220,76,35,1067
81939,Sant Iscle de Vallalta,73,108,87,53,20,12,353
439023,Sant Jaume d'Enveja,134,309,256,243,98,51,1091
82166,Sant Jaume de Frontanyà,2,3,3,2,0,0,10
171655,Sant Jaume de Llierca,40,88,71,41,18,10,268
431378,Sant Jaume dels Domenys,135,157,112,106,38,16,564
171674,Sant Joan de les Abadesses,300,379,319,248,65,30,1341
171680,Sant Joan de Mollet,25,44,27,32,10,4,142
82188,Sant Joan de Vilatorrada,383,929,812,756,210,88,3178
82172,Sant Joan Despí,1439,2786,2546,2449,594,198,10012
171851,Sant Joan les Fonts,185,289,236,192,60,27,989
171668,Sant Jordi Desvalls,41,69,39,41,16,14,220
89030,Sant Julià de Cerdanyola,33,20,19,19,6,0,97
171693,Sant Julià de Ramis,100,155,153,167,65,37,677
82205,Sant Julià de Vilatorta,127,204,175,198,77,27,808
179032,Sant Julià del Llor i Bonmatí,94,108,82,68,18,9,379
82212,Sant Just Desvern,840,1139,990,1134,378,179,4660
82227,Sant Llorenç d'Hortons,109,167,141,126,42,25,610
171714,Sant Llorenç de la Muga,25,32,15,10,1,1,84
251930,Sant Llorenç de Morunys,90,75,62,67,17,13,324
82233,Sant Llorenç Savall,144,188,148,143,46,21,690
82251,Sant Martí d'Albars,3,7,4,7,4,8,33
82248,Sant Martí de Centelles,58,77,62,57,20,7,281
171729,Sant Martí de Llémena,50,45,36,23,12,9,175
259025,Sant Martí de Riucorb,72,75,46,35,17,17,262
82264,Sant Martí de Tous,71,96,78,70,30,11,356
82270,Sant Martí Sarroca,145,194,173,160,70,61,803
82286,Sant Martí Sesgueioles,25,31,23,22,11,8,120
171735,Sant Martí Vell,21,18,15,15,6,2,77
82299,Sant Mateu de Bages,39,68,51,36,13,24,231
171740,Sant Miquel de Campmajor,18,12,9,12,8,7,66
171753,Sant Miquel de Fluvià,33,61,42,50,20,6,212
171766,Sant Mori,15,11,6,13,3,3,51
171772,Sant Pau de Segúries,54,73,48,50,11,7,243
82310,Sant Pere de Ribes,1392,2229,1871,1820,515,246,8073
82325,Sant Pere de Riudebitlles,118,218,159,159,50,27,731
82331,Sant Pere de Torelló,127,193,195,171,54,21,761
82346,Sant Pere de Vilamajor,192,289,235,184,64,42,1006
171788,Sant Pere Pescador,127,142,97,99,36,21,522
81897,Sant Pere Sallavinera,10,9,9,6,7,5,46
82359,Sant Pol de Mar,386,442,284,262,88,44,1506
82362,Sant Quintí de Mediona,134,175,154,108,45,29,645
82378,Sant Quirze de Besora,175,223,161,145,38,11,753
82384,Sant Quirze del Vallès,453,993,1065,1301,343,159,4314
82397,Sant Quirze Safaja,55,30,25,24,15,7,156
251945,Sant Ramon,30,36,39,42,18,13,178
82401,Sant Sadurní d'Anoia,482,846,759,784,269,134,3274
82418,Sant Sadurní d'Osormort,10,2,6,4,5,1,28
80983,Sant Salvador de Guardiola,152,234,165,150,53,19,773
82628,Sant Vicenç de Castellet,507,706,579,514,160,66,2532
82649,Sant Vicenç de Montalt,278,379,310,299,88,38,1392
82652,Sant Vicenç de Torelló,124,183,137,149,42,16,651
82634,Sant Vicenç dels Horts,1073,2198,1995,2008,592,308,8174
431384,Santa Bàrbara,253,381,260,237,73,44,1248
82439,Santa Cecília de Voltregà,6,14,9,13,9,7,58
82444,Santa Coloma de Cervelló,275,654,472,407,115,43,1966
171805,Santa Coloma de Farners,611,870,795,708,195,90,3269
82457,Santa Coloma de Gramenet,6178,10998,9977,8761,2456,1059,39429
431397,Santa Coloma de Queralt,211,238,199,196,78,41,963
171812,Santa Cristina d'Aro,1395,238,120,95,35,11,1894
82460,Santa Eugènia de Berga,59,150,152,185,48,28,622
82476,Santa Eulàlia de Riuprimer,46,74,58,71,29,9,287
82482,Santa Eulàlia de Ronçana,243,454,382,426,110,63,1678
82495,Santa Fe del Penedès,12,22,22,27,8,7,98
171827,Santa Llogaia d'Àlguema,17,18,23,23,13,5,99
82508,Santa Margarida de Montbui,411,807,713,795,244,77,3047
82515,Santa Margarida i els Monjos,247,436,403,384,155,62,1687
82589,Santa Maria d'Oló,64,70,76,70,22,27,329
82536,Santa Maria de Besora,16,10,12,14,3,5,60
82567,Santa Maria de Martorelles,57,64,50,55,14,9,249
82554,Santa Maria de Merlès,5,12,4,9,4,9,43
82573,Santa Maria de Miralles,13,13,5,7,2,1,41
82592,Santa Maria de Palautordera,442,670,530,496,139,59,2336
431401,Santa Oliva,151,232,159,161,64,25,792
171848,Santa Pau,64,112,113,122,39,29,479
82606,Santa Perpètua de Mogoda,844,1919,1793,1734,467,171,6928
82613,Santa Susanna,131,200,164,150,59,25,729
81923,Santpedor,213,469,462,464,130,64,1802
431423,Sarral,126,124,90,107,41,22,510
171864,Sarrià de Ter,221,371,305,278,92,40,1307
252017,Sarroca de Bellera,23,24,5,8,2,4,66
252000,Sarroca de Lleida,34,36,35,35,9,10,159
171870,"Saus, Camallera i Llampaies",77,64,45,48,17,11,262
431439,Savallà del Comtat,11,8,3,1,2,2,27
431444,"Secuita, la",79,103,85,97,26,15,405
171886,"Selva de Mar, la",27,20,16,14,4,1,82
431457,"Selva del Camp, la",230,367,310,379,101,56,1443
431460,Senan,11,3,1,0,0,2,17
430445,"Sénia, la",331,463,414,390,156,78,1832
252022,Senterada,16,12,10,2,4,0,44
250352,"Sentiu de Sió, la",27,41,30,29,13,14,154
82671,Sentmenat,322,538,464,484,145,63,2016
171903,Serinyà,68,72,65,60,23,14,302
252043,Seròs,140,158,121,101,53,44,617
171910,Serra de Daró,18,15,15,13,2,4,67
171925,Setcases,21,19,14,10,5,2,71
252038,"Seu d'Urgell, la",976,1102,836,745,264,122,4045
82690,Seva,184,228,204,193,71,29,909
252056,Sidamon,34,68,36,41,17,8,204
171931,Sils,198,290,238,276,92,29,1123
82704,Sitges,2443,2285,1551,1314,358,149,8100
170524,Siurana,10,14,14,9,1,7,55
82711,Sobremunt,4,4,4,7,3,3,25
252069,"Soleràs, el",27,33,30,24,15,9,138
431476,Solivella,69,75,46,25,22,10,247
252075,Solsona,520,637,561,543,184,103,2548
82726,Sora,18,9,15,12,7,3,64
252081,Soriguera,44,30,18,17,5,12,126
252094,Sort,246,200,126,117,42,20,751
252108,Soses,71,116,83,109,55,31,465
82732,Subirats,180,255,187,184,68,33,907
252115,Sudanell,49,69,57,42,19,7,243
252120,Sunyer,17,16,21,21,13,6,94
82747,Súria,331,607,517,465,129,56,2105
171946,Susqueda,16,8,7,7,1,2,41
82763,Tagamanent,17,20,22,17,1,3,80
82779,Talamanca,9,13,7,8,0,2,39
252154,Talarn,45,34,21,17,11,6,134
252167,Talavera,24,18,20,12,7,15,96
171959,"Tallada d'Empordà, la",27,33,14,25,7,8,114
82785,Taradell,248,404,391,452,160,63,1718
431482,Tarragona,8419,11155,9106,8870,2591,975,41116
252173,Tàrrega,954,1252,994,891,323,180,4594
252189,Tarrés,16,16,4,4,4,3,47
252192,Tarroja de Segarra,20,13,8,11,4,6,62
82750,Tavèrnoles,9,11,12,23,8,11,74
82802,Tavertet,14,20,8,8,6,1,57
82819,Teià,214,440,405,523,131,60,1773
252206,Térmens,88,101,94,91,46,37,457
171962,Terrades,27,19,12,19,0,5,82
82798,Terrassa,11573,18807,14686,12856,3588,1549,63059
82824,Tiana,221,471,487,565,145,66,1955
252213,Tírvia,20,10,10,8,2,1,51
252228,Tiurana,2,0,3,1,0,1,7
431495,Tivenys,70,102,57,56,27,15,327
431508,Tivissa,166,157,113,115,43,42,636
82830,Tona,340,544,416,503,172,75,2050
252234,Torà,93,114,78,86,28,17,416
82845,Tordera,828,1156,876,640,205,108,3813
82858,Torelló,695,1196,1032,996,269,111,4299
252249,"Torms, els",18,17,17,12,3,4,71
252252,Tornabous,72,68,49,53,19,21,282
252271,"Torre de Cabdella, la",93,75,43,36,13,14,274
82861,"Torre de Claramunt, la",123,193,204,187,73,41,821
431515,"Torre de Fontaubella, la",19,16,7,9,5,0,56
431520,"Torre de l'Espanyol, la",48,66,42,40,20,21,237
252265,Torrebesses,34,31,23,19,9,6,122
431536,Torredembarra,990,1169,849,792,258,120,4178
252287,Torrefarrera,96,172,164,139,50,31,652
259078,Torrefeta i Florejacs,57,57,37,48,20,9,228
252304,Torregrossa,138,208,143,140,61,49,739
252311,Torrelameu,40,34,41,33,23,16,187
82877,Torrelavit,65,93,88,76,34,21,377
82883,Torrelles de Foix,170,205,120,110,37,23,665
82896,Torrelles de Llobregat,183,346,311,325,86,33,1284
171978,Torrent,14,14,13,9,5,5,60
252326,Torres de Segre,121,160,150,126,52,29,638
252332,Torre-serona,24,26,25,23,10,7,115
171984,Torroella de Fluvià,51,38,16,19,9,15,148
171997,Torroella de Montgrí,698,741,616,596,168,144,2963
431541,Torroja del Priorat,23,16,8,8,2,3,60
172001,Tortellà,80,76,56,45,17,6,280
431554,Tortosa,2133,2749,2223,2001,742,379,10227
172018,Toses,24,16,8,9,0,5,62
172023,Tossa de Mar,559,451,338,297,88,40,1773
252347,Tremp,561,581,367,356,111,47,2023
172044,Ullà,52,66,54,48,15,30,265
82900,Ullastrell,47,103,89,120,31,15,405
172057,Ullastret,20,21,12,15,8,4,80
431567,Ulldecona,470,564,391,392,135,75,2027
431573,Ulldemolins,67,50,38,25,14,7,201
172039,Ultramort,22,14,9,12,6,7,70
172060,Urús,18,21,9,12,6,5,71
82917,Vacarisses,236,340,268,241,58,25,1168
170144,"Vajol, la",14,13,5,3,4,1,40
172076,"Vall d'en Bas, la",171,217,235,158,56,47,884
172082,"Vall de Bianya, la",104,107,88,78,29,14,420
250432,"Vall de Boí, la",137,75,56,41,21,20,350
259010,Vall de Cardós,50,36,27,18,8,5,144
82922,Vallbona d'Anoia,68,84,92,81,24,11,360
252385,Vallbona de les Monges,37,29,12,9,11,3,101
82938,Vallcebre,18,32,24,13,3,5,95
431589,Vallclara,12,14,12,8,3,0,49
252402,Vallfogona de Balaguer,68,109,105,114,53,29,478
171707,Vallfogona de Ripollès,26,22,9,11,5,7,80
431592,Vallfogona de Riucorb,19,12,11,5,2,0,49
82943,Vallgorguina,129,150,115,102,29,15,540
82956,Vallirana,437,901,801,778,226,125,3268
172095,Vall-llobrega,49,49,44,27,9,1,179
431606,Vallmoll,83,118,86,108,37,15,447
82969,Vallromanes,111,173,125,111,43,9,572
431613,Valls,1300,1838,1602,1620,484,200,7044
259062,"Valls d'Aguilar, les",43,31,18,18,5,9,124
252398,"Valls de Valira, les",57,72,42,42,29,15,257
431628,Vandellòs i l'Hospitalet de l'Infant,273,362,302,345,127,69,1478
259097,"Vansa i Fórnols, la",32,19,7,8,2,6,74
82975,Veciana,5,15,9,10,6,4,49
431634,"Vendrell, el",2008,2554,1789,1725,525,246,8847
172109,Ventalló,76,70,44,37,8,13,248
252424,Verdú,81,85,65,55,25,18,329
172116,Verges,100,96,74,75,28,22,395
431649,Vespella de Gaià,36,33,12,9,6,1,97
82981,Vic,2352,3155,2415,2281,797,456,11456
172121,Vidrà,8,12,16,9,4,4,53
172137,Vidreres,392,479,384,364,113,67,1799
252430,Vielha e Mijaran,406,340,330,278,97,50,1501
431652,Vilabella,37,79,49,65,23,11,264
172142,Vilabertran,66,73,55,48,24,15,281
172155,Vilablareix,56,103,131,211,62,35,598
82994,Vilada,42,58,35,37,13,8,193
172174,Viladamat,34,37,33,24,8,7,143
172168,Viladasens,10,16,14,9,9,2,60
83015,Viladecans,2470,5392,5124,4636,1234,510,19366
83008,Viladecavalls,151,406,542,628,169,50,1946
172180,Vilademuls,42,56,41,34,25,28,226
172207,Viladrau,79,85,50,58,26,13,311
172214,Vilafant,126,310,373,375,118,53,1355
83054,Vilafranca del Penedès,2081,3119,2492,2346,682,333,11053
252445,Vilagrassa,30,40,37,17,10,10,144
172235,Vilajuïga,80,110,66,74,23,11,364
431750,Vilalba dels Arcs,59,45,52,43,17,30,246
83067,Vilalba Sasserra,40,48,47,36,9,4,184
252458,Vilaller,69,56,44,34,19,2,224
172240,Vilallonga de Ter,55,45,33,18,16,4,171
431665,Vilallonga del Camp,87,95,91,109,31,16,429
172253,Vilamacolum,19,26,16,16,9,5,91
172266,Vilamalla,44,51,76,77,15,18,281
172272,Vilamaniscle,21,10,5,10,4,4,54
252477,Vilamòs,15,12,5,8,4,3,47
172288,Vilanant,25,30,19,15,9,11,109
431671,Vilanova d'Escornalbou,42,32,30,37,12,6,159
252483,Vilanova de Bellpuig,71,110,70,73,32,22,378
252496,Vilanova de l'Aguda,6,24,14,11,4,16,75
252542,Vilanova de la Barca,65,87,75,48,26,14,315
252509,Vilanova de Meià,61,30,27,22,14,10,164
431687,Vilanova de Prades,13,14,7,9,4,4,51
83036,Vilanova de Sau,35,31,26,18,5,9,124
252516,Vilanova de Segrià,57,77,49,47,25,14,269
83020,Vilanova del Camí,456,838,838,897,265,99,3393
89024,Vilanova del Vallès,152,253,201,179,69,31,885
83073,Vilanova i la Geltrú,4279,5778,4565,3936,1109,487,20154
431690,Vilaplana,44,50,40,38,15,9,196
431704,Vila-rodona,122,107,78,60,20,13,400
172305,Vila-sacra,28,40,21,28,17,6,140
252521,Vila-sana,29,53,32,42,15,7,178
431711,Vila-seca,797,1146,998,1053,393,168,4555
82140,Vilassar de Dalt,407,691,580,646,216,83,2623
82191,Vilassar de Mar,1111,1691,1421,1360,429,148,6160
172229,Vilaür,13,16,5,8,2,2,46
431726,Vilaverd,43,48,31,17,12,3,154
431732,"Vilella Alta, la",16,11,13,5,2,4,51
431747,"Vilella Baixa, la",35,20,8,9,7,1,80
172333,Vilobí d'Onyar,131,176,161,172,67,38,745
83041,Vilobí del Penedès,47,73,53,61,32,24,290
172327,Vilopriu,23,22,9,9,2,2,67
252537,"Vilosell, el",35,26,14,5,6,3,89
431763,Vimbodí i Poblet,93,125,59,68,26,11,382
252555,Vinaixa,61,61,41,37,18,11,229
431779,Vinebre,45,41,34,26,10,8,164
431785,Vinyols i els Arcs,124,120,77,96,37,9,463
83089,Viver i Serrateix,5,11,7,8,7,11,49
430521,Xerta,97,117,96,78,31,19,438
