Municipi,2010,2011,2012,2013,2014,2015,2016,2017,2018
Benavent de Segrià,22548,22721.0,23088.0,23027.0,23325.0,22717.0,24401.0,24875.0,24875.0
Benissanet,14298,14797.0,14030.0,14110.0,14358.0,13915.0,14291.0,14896.0,14896.0
Berga,265061,267805.0,253693.0,252267.0,255184.0,259705.0,266523.0,272920.0,272920.0
Besalú,37697,38590.0,36351.0,36607.0,37420.0,38843.0,41864.0,42067.0,42067.0
Bescanó,75699,76304.0,74146.0,75681.0,79098.0,82261.0,83984.0,86164.0,86164.0
Bigues i Riells del Fai,151449,149392.0,143327.0,145235.0,157227.0,156429.0,162976.0,168859.0,168859.0
"Bisbal d'Empordà, la",138585,137667.0,127242.0,127584.0,131866.0,135142.0,144662.0,151029.0,151029.0
"Bisbal del Penedès, la",45757,45840.0,43358.0,42743.0,45467.0,44130.0,45523.0,49144.0,49144.0
Blanes,515242,523497.0,490695.0,497529.0,508043.0,523222.0,538511.0,556417.0,556417.0
Bordils,27623,26576.0,27276.0,27134.0,28606.0,28797.0,29930.0,30013.0,30013.0
"Borges Blanques, les",88106,87505.0,82909.0,81921.0,83883.0,82159.0,85402.0,87951.0,87951.0
"Borges del Camp, les",29759,30385.0,28899.0,28770.0,28806.0,30561.0,31159.0,30573.0,30573.0
Bossòst,17556,16862.0,16172.0,16379.0,16332.0,16910.0,17886.0,17933.0,17933.0
Botarell,16376,15924.0,15771.0,15957.0,17391.0,16920.0,17977.0,20240.0,20240.0
Breda,54772,54521.0,51606.0,52402.0,54015.0,53883.0,54687.0,57761.0,57761.0
"Bruc, el",34208,34318.0,33473.0,33139.0,35520.0,36433.0,39525.0,41592.0,41592.0
Cabra del Camp,14064,14545.0,13982.0,14035.0,14074.0,13645.0,14269.0,14974.0,14974.0
Cabrera d'Anoia,18649,18882.0,17505.0,18036.0,19132.0,18864.0,19588.0,21181.0,21181.0
Cabrera de Mar,95458,91748.0,86135.0,84616.0,90014.0,99254.0,106468.0,104949.0,104949.0
Cabrils,166541,156573.0,147981.0,154593.0,167161.0,168667.0,174628.0,180231.0,180231.0
Cadaqués,32619,31786.0,29685.0,30016.0,30293.0,32572.0,36495.0,36011.0,36011.0
Calaf,52436,51709.0,48124.0,47932.0,50180.0,50772.0,55897.0,52700.0,52700.0
Calafell,352775,343323.0,319982.0,316694.0,318866.0,322904.0,342146.0,367306.0,367306.0
Caldes d'Estrac,48778,47393.0,45645.0,44268.0,50913.0,51394.0,50819.0,62129.0,62129.0
Caldes de Malavella,102608,103268.0,102540.0,105638.0,111430.0,112291.0,117495.0,121102.0,121102.0
Caldes de Montbui,291710,290110.0,273546.0,278127.0,286537.0,290056.0,304001.0,309933.0,309933.0
Calella,253186,251844.0,240670.0,239877.0,247360.0,255932.0,266511.0,272703.0,272703.0
Calldetenes,38476,38815.0,37184.0,37022.0,39386.0,39625.0,40781.0,43350.0,43350.0
Callús,28246,29064.0,28029.0,28378.0,29888.0,30984.0,32211.0,33185.0,33185.0
Calonge i Sant Antoni,150349,150359.0,138502.0,137410.0,142908.0,145279.0,150084.0,157894.0,157894.0
Camarles,39255,39002.0,37177.0,36075.0,35904.0,38000.0,40606.0,43395.0,43395.0
Cambrils,492602,484885.0,461976.0,464965.0,482392.0,500811.0,511388.0,526629.0,526629.0
Campdevànol,56048,56749.0,55481.0,55598.0,57544.0,56300.0,57072.0,57039.0,57039.0
Camprodon,39169,38628.0,36100.0,34824.0,33748.0,35089.0,37804.0,39109.0,39109.0
Canet de Mar,219959,220139.0,207642.0,207381.0,219509.0,226146.0,236971.0,241971.0,241971.0
"Canonja, la",0,72862.0,72236.0,74085.0,79116.0,79207.0,80498.0,83037.0,83037.0
Canovelles,219780,218694.0,211861.0,216069.0,213172.0,222266.0,224782.0,230427.0,230427.0
Cànoves i Samalús,47514,46507.0,45347.0,46709.0,47934.0,47831.0,50964.0,53216.0,53216.0
Canyelles,69505,70413.0,65343.0,66221.0,73235.0,71944.0,76336.0,81344.0,81344.0
Capellades,86704,86746.0,81890.0,81875.0,83504.0,83463.0,82974.0,85963.0,85963.0
Cardedeu,296721,293647.0,279828.0,283522.0,300487.0,305742.0,312463.0,322372.0,322372.0
Cardona,83255,83071.0,76645.0,75097.0,76116.0,74873.0,77600.0,77919.0,77919.0
Cassà de la Selva,152213,150737.0,145932.0,146565.0,152219.0,155755.0,161598.0,166136.0,166136.0
Casserres,24450,25789.0,25391.0,24630.0,24746.0,24677.0,26095.0,27437.0,27437.0
Castellar del Vallès,395465,398434.0,374602.0,376984.0,393710.0,409906.0,423072.0,437956.0,437956.0
Castellbell i el Vilar,54870,54284.0,51680.0,51676.0,53964.0,53409.0,55159.0,59607.0,59607.0
Castellbisbal,205157,207782.0,196958.0,200518.0,213225.0,210702.0,210658.0,214064.0,214064.0
Castelldans,0,1134060.0,1069050.0,1085923.0,1212619.0,1361850.0,1443084.0,1400915.0,1400915.0
Castelldefels,1126857,33572.0,32235.0,32047.0,34099.0,32984.0,34103.0,36462.0,36462.0
Castellet i la Gornal,33424,27841.0,27483.0,28509.0,28876.0,30601.0,31938.0,32659.0,32659.0
