Municipi,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Pont de Vilomara i Rocafort, el",49750,1047770.0,1018040.0,1032969.0,1084769.0,1085305.0,1083254.0,1105961.0,1105961.0
Ponts,39141,41652.0,39176.0,40032.0,40618.0,40947.0,43333.0,43755.0,43755.0
Porqueres,68976,208120.0,192947.0,195760.0,200637.0,206588.0,212504.0,226926.0,226926.0
Portbou,19979,485333.0,461092.0,460501.0,471413.0,481755.0,490698.0,505750.0,505750.0
"Prat de Llobregat, el",1029609,28361.0,27156.0,27047.0,28279.0,30116.0,33297.0,31335.0,31335.0
Prats de Lluçanès,40718,114444.0,106011.0,105562.0,106070.0,113132.0,116706.0,120756.0,120756.0
Premià de Dalt,211141,14484.0,14139.0,14472.0,15143.0,16173.0,15532.0,16633.0,16633.0
Premià de Mar,490157,71078.0,65679.0,65191.0,65082.0,66393.0,68837.0,70836.0,70836.0
"Preses, les",26733,19266.0,19433.0,19033.0,19764.0,18913.0,18880.0,20723.0,20723.0
Puigcerdà,117195,54419.0,53464.0,54337.0,58856.0,60276.0,64124.0,65790.0,65790.0
Puigpelat,14486,1514587.0,1430128.0,1431744.0,1467311.0,1516858.0,1555825.0,1618331.0,1618331.0
Puig-reig,69808,18807.0,17454.0,17642.0,16537.0,16921.0,17155.0,14254.0,14254.0
Puigverd de Lleida,19612,32636.0,30050.0,29278.0,29797.0,29666.0,30597.0,31346.0,31346.0
Quart,56034,58195.0,56614.0,58153.0,59847.0,58765.0,62424.0,64902.0,64902.0
Reus,1533219,25159.0,24545.0,25163.0,25622.0,26012.0,27136.0,27503.0,27503.0
Riba-roja d'Ebre,18227,177303.0,168137.0,167614.0,169182.0,170647.0,179115.0,173521.0,173521.0
Ribes de Freser,32629,582308.0,553924.0,561806.0,584170.0,583203.0,587959.0,604754.0,604754.0
Riells i Viabrea,59454,32098.0,30781.0,30090.0,30710.0,33826.0,35988.0,65453.0,65453.0
"Riera de Gaià, la",25403,17462.0,16448.0,16085.0,17109.0,16666.0,17065.0,17988.0,17988.0
Ripoll,173358,17263.0,17192.0,17693.0,18524.0,19197.0,19439.0,20441.0,20441.0
Ripollet,574877,35507.0,32641.0,33358.0,34960.0,35557.0,35546.0,35632.0,35632.0
Riudarenes,30936,84161.0,85752.0,85313.0,87343.0,83712.0,85864.0,89478.0,89478.0
Riudecanyes,17738,184738.0,174957.0,177744.0,186497.0,189051.0,193315.0,201928.0,201928.0
Riudecols,17166,92544.0,85835.0,85103.0,89099.0,82989.0,88192.0,97204.0,97204.0
Riudellots de la Selva,34371,93687.0,90656.0,90381.0,92835.0,95921.0,98799.0,102800.0,102800.0
Riudoms,85136,106713.0,102851.0,102151.0,105792.0,104270.0,105433.0,110389.0,110389.0
"Roca del Vallès, la",183504,213445.0,209047.0,210947.0,216699.0,231364.0,235851.0,244999.0,244999.0
Roda de Berà,94523,42637.0,41459.0,40931.0,42725.0,43060.0,43584.0,45944.0,45944.0
Roda de Ter,92524,1153188.0,1089084.0,1100829.0,1152776.0,1175359.0,1185213.0,1226351.0,1226351.0
Roquetes,112960,3463691.0,3237298.0,3272069.0,3400169.0,3499380.0,3578207.0,3688640.0,3688640.0
Roses,217846,112903.0,108394.0,110285.0,109648.0,109720.0,112407.0,114404.0,114404.0
Rosselló,44659,316818.0,300539.0,305240.0,313418.0,326334.0,338314.0,355186.0,355186.0
Rubí,1144641,338100.0,315427.0,315695.0,323448.0,336050.0,348093.0,364022.0,364022.0
Sabadell,3438017,521980.0,504329.0,508924.0,524316.0,523500.0,524286.0,540888.0,540888.0
Sallent,109960,429081.0,411799.0,420073.0,436090.0,432113.0,430702.0,439392.0,439392.0
Salou,313691,198961.0,185782.0,190717.0,200559.0,208644.0,210005.0,233185.0,233185.0
Salt,347296,97400.0,94939.0,94847.0,99856.0,104178.0,110432.0,115914.0,115914.0
Sant Adrià de Besòs,518685,1334419.0,1248207.0,1289062.0,1340423.0,1342559.0,1345902.0,1374941.0,1374941.0
Sant Andreu de la Barca,423941,180509.0,168243.0,164930.0,171638.0,177475.0,181980.0,193280.0,193280.0
Sant Andreu de Llavaneres,201403,56308.0,52924.0,52671.0,57815.0,56046.0,57623.0,59138.0,59138.0
Sant Antoni de Vilamajor,99114,263686.0,248803.0,252728.0,261444.0,268702.0,276439.0,285623.0,285623.0
Sant Bartomeu del Grau,0,66541.0,64259.0,66944.0,70594.0,70660.0,71530.0,73046.0,73046.0
Sant Boi de Llobregat,1314030,1882844.0,1770630.0,1807382.0,1968336.0,2108393.0,2164833.0,2251844.0,2251844.0
Sant Carles de la Ràpita,181006,40374.0,40182.0,40088.0,43967.0,44850.0,49820.0,51207.0,51207.0
Sant Cebrià de Vallalta,58119,132604.0,127764.0,130655.0,138260.0,137025.0,139923.0,147897.0,147897.0
Sant Celoni,262344,90866.0,84713.0,85659.0,90103.0,91490.0,96837.0,100476.0,100476.0
Sant Climent de Llobregat,66734,294697.0,274956.0,276438.0,281952.0,294363.0,308489.0,310625.0,310625.0
Sant Cugat del Vallès,1926726,781395.0,753949.0,765870.0,803140.0,826000.0,831514.0,843278.0,843278.0
Sant Esteve de Palautordera,42473,20993.0,19902.0,19536.0,20141.0,20833.0,21674.0,21854.0,21854.0
Sant Esteve Sesrovires,129628,149568.0,147990.0,151542.0,159192.0,158906.0,161293.0,165089.0,165089.0
Sant Feliu de Codines,92626,157804.0,140864.0,141295.0,184092.0,157295.0,160361.0,183714.0,183714.0
Sant Feliu de Guíxols,304777,57998.0,57411.0,57697.0,61031.0,62547.0,68637.0,70566.0,70566.0
Sant Feliu de Llobregat,770587,15416.0,14009.0,13896.0,14783.0,14534.0,14953.0,15346.0,15346.0
Sant Feliu de Pallerols,20910,81509.0,76611.0,77726.0,78406.0,80087.0,82844.0,85307.0,85307.0
Sant Fost de Campsentelles,146949,57508.0,53279.0,54116.0,56050.0,57624.0,59393.0,61057.0,61057.0
Sant Fruitós de Bages,143927,19404.0,18041.0,19006.0,19255.0,19631.0,21112.0,21999.0,21999.0
Sant Gregori,57336,40208.0,40099.0,38922.0,40510.0,39483.0,43149.0,45106.0,45106.0
Sant Guim de Freixenet,16059,34020.0,34604.0,34149.0,34474.0,34906.0,35593.0,38071.0,38071.0
Sant Hilari Sacalm,80833,60246.0,57902.0,56836.0,56195.0,56325.0,58472.0,57566.0,57566.0
Sant Hipòlit de Voltregà,55363,166782.0,161280.0,163143.0,167281.0,169449.0,172281.0,176024.0,176024.0
Sant Iscle de Vallalta,19537,618955.0,595785.0,609446.0,640671.0,644515.0,647660.0,655779.0,655779.0
Sant Jaume d'Enveja,41719,46938.0,45611.0,47079.0,48073.0,50022.0,50712.0,53294.0,53294.0
Sant Jaume dels Domenys,34553,56339.0,55432.0,56696.0,58398.0,59154.0,60170.0,62323.0,62323.0
Sant Joan de les Abadesses,60610,53133.0,50328.0,52310.0,55081.0,57558.0,61394.0,61500.0,61500.0
Sant Joan de Vilatorrada,167891,20214.0,19461.0,21249.0,21047.0,22624.0,22143.0,22101.0,22101.0
Sant Joan Despí,618413,386214.0,359812.0,369887.0,411031.0,437169.0,432672.0,517444.0,517444.0
Sant Joan les Fonts,47527,42380.0,39341.0,40728.0,43522.0,45813.0,43259.0,43106.0,43106.0
Sant Julià de Ramis,56789,36378.0,34806.0,35517.0,36374.0,36072.0,37506.0,39070.0,39070.0
Sant Julià de Vilatorta,52546,14882.0,14472.0,14231.0,16256.0,15236.0,16395.0,17081.0,17081.0
Sant Julià del Llor i Bonmatí,19886,17821.0,16999.0,17141.0,18727.0,19299.0,20077.0,21457.0,21457.0
Sant Just Desvern,397762,47175.0,43814.0,44298.0,44706.0,47039.0,46782.0,49848.0,49848.0
Sant Llorenç d'Hortons,41543,451043.0,421379.0,431819.0,456173.0,467632.0,476269.0,494436.0,494436.0
Sant Llorenç Savall,35645,38496.0,36889.0,37699.0,37491.0,37091.0,37710.0,39115.0,39115.0
Sant Martí de Centelles,14500,39134.0,37497.0,36965.0,38515.0,38958.0,40885.0,42258.0,42258.0
Sant Martí de Tous,17885,74252.0,70105.0,71146.0,74283.0,74767.0,76221.0,80002.0,80002.0
Sant Martí Sarroca,48371,23234.0,22537.0,22865.0,23374.0,24350.0,26551.0,27907.0,27907.0
Sant Pere de Ribes,460076,94248.0,84146.0,84825.0,87682.0,91469.0,92964.0,100193.0,100193.0
Sant Pere de Riudebitlles,38949,31018.0,28179.0,27353.0,28144.0,28222.0,29841.0,32849.0,32849.0
Sant Pere de Torelló,38883,34698.0,33512.0,33433.0,34137.0,34570.0,31057.0,36912.0,36912.0
Sant Pere de Vilamajor,72975,411451.0,395457.0,398571.0,425784.0,438164.0,436315.0,453872.0,453872.0
Sant Pere Pescador,24886,214482.0,203681.0,209600.0,212633.0,223883.0,220162.0,226605.0,226605.0
Sant Pol de Mar,95111,47340.0,45357.0,46108.0,49018.0,49548.0,50845.0,53165.0,53165.0
Sant Quintí de Mediona,31701,130485.0,124395.0,124977.0,129190.0,128607.0,134174.0,138779.0,138779.0
Sant Quirze de Besora,34548,122885.0,119814.0,116825.0,128357.0,138049.0,135875.0,144495.0,144495.0
Sant Quirze del Vallès,410842,34650.0,33017.0,33950.0,34651.0,39512.0,36314.0,43501.0,43501.0
Sant Sadurní d'Anoia,220545,424136.0,403777.0,409051.0,425719.0,443503.0,438382.0,452769.0,452769.0
Sant Salvador de Guardiola,46822,46574.0,45470.0,44442.0,45639.0,44689.0,46010.0,48272.0,48272.0
Sant Vicenç de Castellet,131465,143646.0,140298.0,140696.0,148775.0,147521.0,147297.0,149584.0,149584.0
Sant Vicenç de Montalt,134108,172305.0,167082.0,168037.0,181204.0,182036.0,193231.0,196542.0,196542.0
Sant Vicenç de Torelló,34167,1672243.0,1581087.0,1590455.0,1635075.0,1634424.0,1639007.0,1684866.0,1684866.0
Sant Vicenç dels Horts,420830,44189.0,39468.0,39311.0,39364.0,40219.0,43143.0,42798.0,42798.0
Santa Bàrbara,48865,70660.0,69301.0,69143.0,70724.0,74121.0,77598.0,84453.0,84453.0
Santa Coloma de Cervelló,144215,36325.0,34369.0,34975.0,37325.0,36839.0,36896.0,38706.0,38706.0
Santa Coloma de Farners,169953,19357.0,18628.0,18964.0,20242.0,21189.0,23946.0,24560.0,24560.0
Santa Coloma de Gramenet,1657989,117651.0,109831.0,113576.0,120611.0,120998.0,127253.0,135852.0,135852.0
Santa Coloma de Queralt,45699,116093.0,102621.0,104539.0,109821.0,113409.0,116000.0,120307.0,120307.0
Santa Cristina d'Aro,76824,111987.0,107179.0,109625.0,112521.0,113790.0,118165.0,120683.0,120683.0
Santa Eugènia de Berga,34797,18279.0,15911.0,16303.0,16712.0,16430.0,17695.0,18000.0,18000.0
Santa Eulàlia de Riuprimer,18869,138906.0,133311.0,135357.0,141258.0,145505.0,154043.0,156600.0,156600.0
Santa Eulàlia de Ronçana,118833,42528.0,39944.0,39906.0,40645.0,41051.0,42209.0,44328.0,44328.0
Santa Margarida de Montbui,125534,28201.0,26087.0,26059.0,26323.0,26475.0,28850.0,27622.0,27622.0
Santa Margarida i els Monjos,99692,409428.0,393075.0,394601.0,412352.0,409449.0,410049.0,417790.0,417790.0
Santa Maria d'Oló,18335,51236.0,47582.0,48412.0,52806.0,51264.0,53356.0,55031.0,55031.0
Santa Maria de Palautordera,138821,127000.0,120477.0,122290.0,127138.0,126527.0,131939.0,134888.0,134888.0
Santa Oliva,41661,21814.0,20639.0,20669.0,20361.0,20362.0,21341.0,21919.0,21919.0
Santa Pau,27202,80139.0,77808.0,79504.0,87575.0,83855.0,84793.0,87946.0,87946.0
Santa Perpètua de Mogoda,407304,-81162.0,28502.0,29236.0,29193.0,27177.0,26922.0,28038.0,28038.0
Santa Susanna,50636,81970.0,79441.0,79368.0,80996.0,81902.0,83184.0,86590.0,86590.0
Santpedor,127143,70070.0,62437.0,60843.0,62111.0,63005.0,65876.0,68417.0,68417.0
Sarral,21586,135791.0,130714.0,133711.0,139340.0,142689.0,150545.0,157421.0,157421.0
Sarrià de Ter,79641,17046.0,15954.0,15941.0,16096.0,16991.0,17374.0,18325.0,18325.0
"Secuita, la",26325,22470.0,23967.0,23892.0,24149.0,22014.0,23512.0,24041.0,24041.0
"Selva del Camp, la",82876,170742.0,155537.0,154431.0,154983.0,159324.0,163808.0,168431.0,168431.0
"Sénia, la",70502,55950.0,54705.0,55747.0,57893.0,59734.0,62326.0,63814.0,63814.0
Sentmenat,130381,80913.0,78544.0,80413.0,83680.0,85365.0,88502.0,91667.0,91667.0
Serinyà,16523,503249.0,473663.0,483712.0,511932.0,544864.0,586667.0,624165.0,624165.0
Seròs,21795,127501.0,123535.0,119012.0,121090.0,121060.0,127701.0,133240.0,133240.0
"Seu d'Urgell, la",175673,33897.0,30890.0,30537.0,31211.0,31216.0,34126.0,34620.0,34620.0
Seva,55817,22407.0,22894.0,22631.0,22987.0,21669.0,23834.0,24770.0,24770.0
Sils,77842,49400.0,46102.0,46561.0,48499.0,48074.0,49345.0,50840.0,50840.0
Sitges,508719,102601.0,97269.0,97481.0,99539.0,99739.0,101699.0,101982.0,101982.0
Solsona,126874,102586.0,99049.0,98156.0,103114.0,106324.0,112639.0,118103.0,118103.0
Sort,35388,2140146.0,1987755.0,2002660.0,2038409.0,2116063.0,2106516.0,2159948.0,2159948.0
Soses,22360,228226.0,212547.0,212928.0,218537.0,222903.0,233924.0,240583.0,240583.0
Subirats,48922,143463.0,128846.0,126080.0,136199.0,142413.0,147420.0,154987.0,154987.0
Súria,98915,19016.0,18855.0,18249.0,18766.0,18367.0,18996.0,18943.0,18943.0
Taradell,99812,3438994.0,3194812.0,3272889.0,3408775.0,3519076.0,3594587.0,3698357.0,3698357.0
Tarragona,2217785,176153.0,170845.0,173075.0,186679.0,198003.0,195926.0,204006.0,204006.0
Tàrrega,232786,23654.0,22267.0,21749.0,22384.0,21910.0,22065.0,23015.0,23015.0
Teià,141899,111081.0,124881.0,125896.0,131884.0,132837.0,138641.0,142696.0,142696.0
Térmens,19456,18480.0,17829.0,17584.0,18169.0,18766.0,19386.0,19391.0,19391.0
Terrassa,3422323,210330.0,200978.0,202344.0,212013.0,213587.0,225522.0,238845.0,238845.0
Tiana,180175,219346.0,211182.0,213011.0,219908.0,232147.0,240857.0,249545.0,249545.0
Tivissa,24093,57652.0,53384.0,54009.0,56020.0,57007.0,57082.0,59202.0,59202.0
Tona,127549,219257.0,205016.0,200106.0,204233.0,206703.0,213005.0,226398.0,226398.0
Torà,19141,65440.0,66013.0,64690.0,67344.0,68752.0,69480.0,72363.0,72363.0
Tordera,207892,28422.0,29485.0,28507.0,29241.0,26689.0,27937.0,29221.0,29221.0
Torelló,217284,24241.0,22621.0,22208.0,24323.0,23449.0,24458.0,25343.0,25343.0
"Torre de Claramunt, la",56112,28909.0,27023.0,26797.0,27428.0,27987.0,29681.0,29824.0,29824.0
Torredembarra,220494,99378.0,99132.0,100419.0,104037.0,104879.0,108301.0,114371.0,114371.0
Torrefarrera,66686,26475.0,27788.0,27754.0,28287.0,25913.0,26993.0,28029.0,28029.0
Torregrossa,29187,147627.0,140860.0,142004.0,142994.0,149781.0,154882.0,159786.0,159786.0
Torrelavit,24740,475288.0,444922.0,439795.0,435442.0,456082.0,472000.0,487282.0,487282.0
Torrelles de Foix,30110,77657.0,70805.0,70950.0,69899.0,72284.0,73832.0,75040.0,75040.0
Torrelles de Llobregat,99634,94714.0,89072.0,86610.0,87176.0,86521.0,87891.0,89212.0,89212.0
Torres de Segre,26048,12411.0,12454.0,13067.0,13679.0,13319.0,14899.0,14878.0,14878.0
Torroella de Montgrí,149115,33524.0,32745.0,32944.0,35977.0,35358.0,37415.0,39095.0,39095.0
Tortosa,503586,74075.0,70858.0,69802.0,69402.0,70709.0,72833.0,78700.0,78700.0
Tossa de Mar,80455,94200.0,91935.0,93046.0,96744.0,98115.0,105783.0,114684.0,114684.0
Tremp,95764,49059.0,48037.0,47600.0,49173.0,51948.0,54161.0,54966.0,54966.0
Ullà,12926,22906.0,23078.0,22811.0,23437.0,24640.0,24928.0,25437.0,25437.0
Ullastrell,33808,15181.0,15387.0,14561.0,13907.0,13434.0,15382.0,16344.0,16344.0
Ulldecona,76981,22991.0,21559.0,22002.0,22512.0,22454.0,22963.0,23728.0,23728.0
Vacarisses,95410,25271.0,26586.0,25502.0,25277.0,24881.0,26169.0,27489.0,27489.0
"Vall d'en Bas, la",49468,42042.0,42059.0,41334.0,45179.0,44405.0,47219.0,50117.0,50117.0
"Vall de Bianya, la",21073,245124.0,231368.0,235152.0,247895.0,245725.0,254382.0,267772.0,267772.0
"Vall de Boí, la",16220,26943.0,24824.0,24943.0,26435.0,26391.0,27475.0,27649.0,27649.0
Vallbona d'Anoia,22261,50858.0,48203.0,49079.0,54849.0,65317.0,55884.0,58625.0,58625.0
Vallfogona de Balaguer,25228,375268.0,351740.0,354784.0,360333.0,375859.0,381985.0,389981.0,389981.0
Vallgorguina,42244,85829.0,84686.0,84534.0,88927.0,90172.0,91397.0,96367.0,96367.0
Vallirana,235755,517477.0,486877.0,480861.0,496940.0,512377.0,528567.0,554759.0,554759.0
Vallmoll,28723,17018.0,16846.0,17304.0,17204.0,17872.0,18733.0,18422.0,18422.0
Vallromanes,51151,652701.0,622782.0,640590.0,663275.0,706278.0,765019.0,744398.0,744398.0
Valls,375353,108598.0,107206.0,107001.0,109894.0,110358.0,113236.0,117926.0,117926.0
Vandellòs i l'Hospitalet de l'Infant,86120,76495.0,72145.0,72375.0,74333.0,78800.0,82652.0,86542.0,86542.0
"Vendrell, el",512560,44929.0,43958.0,44221.0,45727.0,47808.0,51337.0,53944.0,53944.0
Verdú,0,1079262.0,1035324.0,1058652.0,1095561.0,1088536.0,1087739.0,1131813.0,1131813.0
Verges,18006,130251.0,125655.0,124341.0,131080.0,133493.0,136220.0,141684.0,141684.0
Vic,649477,17739.0,16521.0,17102.0,17360.0,17749.0,18395.0,18803.0,18803.0
Vidreres,108638,78033.0,76715.0,76189.0,77933.0,81478.0,83895.0,84899.0,84899.0
Vielha e Mijaran,78013,628649.0,582658.0,588835.0,598185.0,618789.0,634111.0,656026.0,656026.0
Vilablareix,43574,15157.0,14763.0,14915.0,15885.0,16182.0,16846.0,17534.0,17534.0
Viladecans,1057619,32725.0,30800.0,31077.0,32892.0,33384.0,34516.0,36018.0,36018.0
Viladecavalls,128576,16694.0,16522.0,16489.0,15969.0,15830.0,16931.0,17391.0,17391.0
Viladrau,17643,15376.0,15361.0,15707.0,15922.0,15915.0,16693.0,16999.0,16999.0
Vilafant,78128,15651.0,15394.0,15065.0,15592.0,14515.0,14954.0,15552.0,15552.0
Vilafranca del Penedès,633638,164984.0,154083.0,156366.0,162701.0,163661.0,168239.0,176228.0,176228.0
Vilajuïga,16082,92853.0,91699.0,92740.0,100448.0,103542.0,108900.0,110983.0,110983.0
Vilallonga del Camp,31985,1032534.0,960147.0,976808.0,1023111.0,1052222.0,1080803.0,1112727.0,1112727.0
Vilamalla,16206,16808.0,16242.0,16232.0,15957.0,16549.0,17425.0,18234.0,18234.0
Vilanova de Bellpuig,15586,290798.0,279383.0,284928.0,290013.0,295760.0,293192.0,307761.0,307761.0
Vilanova de la Barca,16200,172496.0,161297.0,165065.0,170726.0,179149.0,179108.0,186518.0,186518.0
Vilanova del Camí,163168,386770.0,367934.0,372829.0,391681.0,400900.0,419067.0,422372.0,422372.0
Vilanova del Vallès,92863,52080.0,49976.0,49355.0,54161.0,53982.0,52365.0,55239.0,55239.0
Vilanova i la Geltrú,1047236,19115.0,17340.0,17770.0,19044.0,18192.0,18333.0,18039.0,18039.0
Vila-rodona,17647,28396.0,27119.0,26835.0,28536.0,28309.0,30026.0,32030.0,32030.0
Vila-seca,289664,16331.0,16028.0,15350.0,15807.0,16008.0,16407.0,16855.0,16855.0
Vilassar de Dalt,182762,125133109.0,117976482.0,118908304.0,123798363.0,126913853.0,129826636.0,133679103.0,133679103.0
Vilassar de Mar,389349,,,,,,,,
Vilobí d'Onyar,48824,,,,,,,,
Vilobí del Penedès,18227,,,,,,,,
Vinyols i els Arcs,28405,,,,,,,,
Xerta,17340,,,,,,,,
Catalunya,125513875,,,,,,,,
