provincia, principals,secundaris,buits,total,Total,Habitatges col·lectius
Barcelona,2,168,607,151,335,283,155,434,490,2,603,097,1,271
Girona,292,054,141,700,55,460,197,160,489,214,302
Lleida,171,180,36,496,37,165,73,661,244,841,268
Tarragona,313,103,140,549,72,577,213,126,526,229,171
