Comarca,1,2,3,4,5,6,>6,Total,
Alt Camp,1.945,3.049,2.477,2.600,1.030,352,138,11.591,
Alt Empordà,6.713,9.195,7.004,6.606,2.486,824,424,33.252,
Alt Penedès,3.651,6.213,5.309,5.463,2.266,831,380,24.113,
Alt Urgell,1.486,1.667,1.442,1.210,559,223,118,6.705,
Alta Ribagorça,312,306,251,245,98,38,22,1.272,
Anoia,4.510,7.283,6.145,6.712,2.733,902,398,28.683,
Bages,8.211,14.402,12.270,11.044,4.134,1.373,590,52.024,
Baix Camp,7.845,11.697,9.912,10.900,4.219,1.346,616,46.535,
Baix Ebre,3.532,5.984,4.849,4.629,2.059,735,285,22.073,
Baix Empordà,6.104,8.688,7.270,7.002,2.712,926,469,33.171,
Baix Llobregat,25.131,50.266,49.501,54.384,19.405,5.478,2.289,206.454,
Baix Penedès,3.365,4.490,3.371,3.426,1.381,461,200,16.694,
Barcelonès,162.179,222.183,174.114,154.258,53.470,11.963,5.090,783.257,
Berguedà,2.600,3.929,3.084,2.629,926,348,154,13.670,
Cerdanya,1.081,1.124,957,885,353,144,52,4.596,
Conca de Barberà,1.238,1.645,1.296,1.227,551,218,79,6.254,
Garraf,5.880,8.633,6.970,6.876,2.426,659,304,31.748,
Garrigues,1.257,1.720,1.371,1.265,602,263,110,6.588,
Garrotxa,3.147,4.551,3.850,3.135,1.238,457,191,16.569,
Gironès,7.864,11.117,9.414,9.904,3.852,1.147,582,43.880,
Maresme,16.024,26.451,23.664,25.498,9.415,2.793,1.303,105.148,
Montsià,2.919,5.108,4.196,3.978,1.655,537,202,18.595,
Noguera,2.105,2.892,2.444,2.209,1.102,504,235,11.491,
Osona,5.900,10.069,9.152,9.368,3.678,1.366,633,40.166,
Pallars Jussà,1.328,1.317,925,780,328,120,78,4.876,
Pallars Sobirà,589,528,395,347,162,79,38,2.138,
Pla d'Urgell,1.497,2.461,2.001,2.007,924,427,195,9.512,
Pla de l'Estany,1.084,1.865,1.656,1.679,766,349,186,7.585,
Priorat,847,890,615,577,247,120,53,3.349,
Ribera d'Ebre,1.433,2.028,1.611,1.607,630,285,98,7.692,
Ripollès,1.982,2.713,2.223,1.803,642,220,73,9.656,
Segarra,1.042,1.529,1.233,1.127,544,251,118,5.844,
Segrià,9.100,14.042,12.301,11.939,4.861,1.816,863,54.922,
Selva,5.988,9.245,8.157,8.100,2.970,961,382,35.803,
Solsonès,660,771,752,717,344,185,133,3.562,
Tarragonès,9.254,14.110,12.220,13.607,5.098,1.525,676,56.490,
Terra Alta,682,1.064,868,798,360,243,99,4.114,
Urgell,1.821,2.791,2.210,1.960,923,398,173,10.276,
Val d'Aran,476,591,505,520,221,67,47,2.427,
Vallès Occidental,28.447,56.041,51.800,57.492,20.484,5.836,2.565,222.665,
Vallès Oriental,11.886,23.342,21.378,23.661,8.636,2.507,1.105,92.515,
Catalunya,363.115,557.990,471.163,464.174,170.490,49.277,21.746,2.097.955,
Metropolità,253.198,393.129,332.736,327.632,116.102,30.067,13.036,1.465.900,
Comarques Gironines,32.882,47.374,39.574,38.229,14.666,4.884,2.307,179.916,
Camp de Tarragona,24.494,35.881,29.891,32.337,12.526,4.022,1.762,140.913,
Terres de l'Ebre,8.566,14.184,11.524,11.012,4.704,1.800,684,52.474,
Ponent,16.822,25.435,21.560,20.507,8.956,3.659,1.694,98.633,
Comarques Centrals,21.881,36.454,31.403,30.470,11.815,4.174,1.908,138.105,
Alt Pirineu i Aran,5.272,5.533,4.475,3.987,1.721,671,355,22.014,
Barcelona,274.343,428.735,363.343,357.310,127.557,34.047,14.804,1.600.139,
Girona,33.786,48.300,40.374,38.990,14.960,5.000,2.350,183.760,
Lleida,21.926,30.890,26.031,24.525,10.743,4.408,2.146,120.669,
Tarragona,33.060,50.065,41.415,43.349,17.230,5.822,2.446,193.387,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
