,Municipi,Codi,Any,Total,Homes,Dones,0-14 Anys,15-64 Anys,64 o més,Índex d'envelliment,Índex de sobreenvelliment,Saldo migratori total,Immigracions,Emigracions,Aturats,Poblacio activa,Renda,Demanda,Habitatges familiars secundaris,Habitatges familiars vacants,Habitatges familiars altres,Habitatges familiars principals,De lloguer,De propietat,Serveis,Solar,Zones verdes,Equipament,Connectivitat,Densitat comercial,Hab Lloguer
34,Almoster,430115,2000,823.0,0.5139732685297691,0.48602673147023084,0.16889428918590524,0.6913730255164034,0.13973268529769137,,,,,,,,,,,,,,,,,,,,,,0.0
35,Alòs de Balaguer,250220,2000,187.0,0.5828877005347594,0.41711229946524064,0.058823529411764705,0.6363636363636364,0.3048128342245989,,,,,,,,,,,,,,,,,,,,,,0.0
36,Alp,170062,2000,1194.0,0.5192629815745393,0.4807370184254606,0.1440536013400335,0.7412060301507538,0.11474036850921274,,,,,,,,,,,,,,,,,,,,,,0.0
37,Alpens,80044,2000,264.0,0.5303030303030303,0.4696969696969697,0.15151515151515152,0.6174242424242424,0.23106060606060605,,,,,,,,,,,,,,,,,,,,,,0.0
38,Alpicat,250236,2000,4016.0,0.49925298804780877,0.5007470119521913,0.17031872509960158,0.6867529880478087,0.14292828685258965,,,,,,,,,,,,,,,,,,,,,,0.0
39,Alt Àneu,250241,2000,411.0,0.5523114355231143,0.44768856447688565,0.13138686131386862,0.6423357664233577,0.22627737226277372,,,,,,,,,,,,,,,,,,,,,,0.0
40,Altafulla,430120,2000,3111.0,0.5107682417229187,0.4892317582770813,0.1603985856637737,0.7280617164898746,0.11153969784635165,,,,,,,,,,,,,,,,,,,,,,0.0
41,Amer,170078,2000,2220.0,0.4918918918918919,0.5081081081081081,0.11621621621621622,0.65,0.23378378378378378,,,,,,,,,,,,,,,,,,,,,,0.0
42,Amposta,430141,2000,16372.0,0.493097972147569,0.506902027852431,0.13724651844612754,0.6754825311507452,0.1872709504031273,,,,,,,,,,,,,,,,,,,,,,0.0
43,Anglès,170084,2000,5009.0,0.5044919145538032,0.49550808544619684,0.12956677979636655,0.6656019165502096,0.20483130365342384,,,,,,,,,,,,,,,,,,,,,,0.0
44,Anglesola,250273,2000,1277.0,0.5105716523101018,0.4894283476898982,0.10493343774471417,0.6335160532498042,0.2615505090054816,,,,,,,,,,,,,,,,,,,,,,0.0
45,Arbeca,250292,2000,2384.0,0.511744966442953,0.48825503355704697,0.13171140939597314,0.6023489932885906,0.26593959731543626,,,,,,,,,,,,,,,,,,,,,,0.0
46,Arbolí,430154,2000,139.0,0.5035971223021583,0.49640287769784175,0.04316546762589928,0.6906474820143885,0.26618705035971224,,,,,,,,,,,,,,,,,,,,,,0.0
47,Arbúcies,170097,2000,5026.0,0.5059689614007162,0.4940310385992837,0.145841623557501,0.6605650616792678,0.1935933147632312,,,,,,,,,,,,,,,,,,,,,,0.0
48,Arenys de Mar,80060,2000,12610.0,0.4794607454401269,0.5205392545598732,0.1450436161776368,0.668041237113402,0.18691514670896114,,,,,,,,,,,,,,,,,,,,,,0.0
49,Arenys de Munt,80076,2000,6242.0,0.49615507850048063,0.5038449214995194,0.162447933354694,0.6850368471643704,0.1525152194809356,,,,,,,,,,,,,,,,,,,,,,0.0
50,Argelaguer,170101,2000,379.0,0.5435356200527705,0.45646437994722955,0.17150395778364116,0.5725593667546174,0.2559366754617414,,,,,,,,,,,,,,,,,,,,,,0.0
51,Argençola,80082,2000,196.0,0.5357142857142857,0.4642857142857143,0.10714285714285714,0.6632653061224489,0.22959183673469388,,,,,,,,,,,,,,,,,,,,,,0.0
52,Argentona,80095,2000,9482.0,0.49630879561273994,0.5036912043872601,0.1587217886521831,0.7033326302467834,0.13794558110103353,,,,,,,,,,,,,,,,,,,,,,0.0
53,Arnes,430189,2000,517.0,0.5183752417794971,0.4816247582205029,0.09284332688588008,0.539651837524178,0.36750483558994196,,,,,,,,,,,,,,,,,,,,,,0.0
54,Arres,250313,2000,63.0,0.5079365079365079,0.49206349206349204,0.12698412698412698,0.6031746031746031,0.2698412698412698,,,,,,,,,,,,,,,,,,,,,,0.0
55,Arsèguel,250328,2000,108.0,0.5370370370370371,0.46296296296296297,0.06481481481481481,0.7037037037037037,0.23148148148148148,,,,,,,,,,,,,,,,,,,,,,0.0
56,Artés,80109,2000,4368.0,0.497481684981685,0.502518315018315,0.14514652014652016,0.660485347985348,0.19436813186813187,,,,,,,,,,,,,,,,,,,,,,0.0
57,Artesa de Lleida,250334,2000,1326.0,0.5150829562594268,0.48491704374057315,0.1282051282051282,0.6402714932126696,0.23152337858220212,,,,,,,,,,,,,,,,,,,,,,0.0
58,Artesa de Segre,250349,2000,3169.0,0.5124644998422215,0.48753550015777847,0.11486273272325655,0.6289050173556326,0.25623224992111077,,,,,,,,,,,,,,,,,,,,,,0.0
59,Ascó,430192,2000,1707.0,0.5061511423550088,0.4938488576449912,0.127709431751611,0.6461628588166374,0.22612770943175162,,,,,,,,,,,,,,,,,,,,,,0.0
60,Aspa,250365,2000,267.0,0.5056179775280899,0.4943820224719101,0.08614232209737828,0.5767790262172284,0.33707865168539325,,,,,,,,,,,,,,,,,,,,,,0.0
61,Avià,80116,2000,1845.0,0.5040650406504065,0.4959349593495935,0.11978319783197831,0.6428184281842818,0.23739837398373984,,,,,,,,,,,,,,,,,,,,,,0.0
62,Avinyó,80121,2000,1999.0,0.48874437218609307,0.511255627813907,0.14757378689344672,0.639319659829915,0.21310655327663833,,,,,,,,,,,,,,,,,,,,,,0.0
63,Avinyonet de Puigventós,170123,2000,618.0,0.5097087378640777,0.49029126213592233,0.16019417475728157,0.6909385113268608,0.1488673139158576,,,,,,,,,,,,,,,,,,,,,,0.0
