Municipi,Codi_ine_6_txt,Comarca,Àmbit territorial,Any,Població,Establiments,Superfície de venda (m2),Densitat comercial (est. / 1.000 hab.),Densitat comercial (m2 / 1.000 hab.),Superfície mitjana per establiment (m2),Percentatge d'establiments dintre de TUC,Percentatge de superfície de venda dintre de TUC,Percentatge d'establiments,Percentatge de superfície de venda,Altres,Automoció i carburants,Comerç mixt,Equipament llar,Equipament persona,Lleure i cultura,Quotidià alimentari (exc. vending),Quotidià no alimentari,Superfície Altres,Superfície Automoció i carburants,Superfície Comerç mixt,Superfície Equipament llar,Superfície Equipament persona,Superfície Lleure i cultura,Superfície Quotidià alimentari (exc. vending),Superfície Quotidià no alimentari
Llívia,170947,Cerdanya,Alt Pirineu i Aran,2018,1428,21,2096,14.71,1468,100,,,0.000207,0.000143,,,,,,,,,,,,,,,,
"Lloar, el",430727,Priorat,Camp de Tarragona,2018,118,1,52,8.47,441,52,,,0.00001,0.000004,,,,,,,,,,,,,,,,
Llobera,251291,Solsonès,Comarques Centrals,2018,195,1,86,5.13,441,86,,,0.00001,0.000006,,,,,,,,,,,,,,,,
Llorac,430733,Conca de Barberà,Camp de Tarragona,2018,100,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Llorenç del Penedès,430748,Baix Penedès,Penedès,2018,2327,32,4897,13.75,2104,153,,,0.000316,0.000334,,,,,,,,,,,,,,,,
Lloret de Mar,170950,Selva,Comarques Gironines,2018,37350,607,90465,16.25,2422,149,0.9446,0.8388,0.005994,0.006167,25,38,65,125,145,27,146,36,6109,7554,10627,17867,15192,2016,27959,3141
"Llosses, les",170963,Ripollès,Comarques Gironines,2018,219,1,25,4.57,114,25,,,0.00001,0.000002,,,,,,,,,,,,,,,,
Lluçà,81094,Osona,Comarques Centrals,2018,276,4,143,14.49,518,36,,,0.000039,0.00001,,,,,,,,,,,,,,,,
Maçanet de Cabrenys,171024,Alt Empordà,Comarques Gironines,2018,681,10,737,14.68,1082,74,,,0.000099,0.00005,,,,,,,,,,,,,,,,
Maçanet de la Selva,171030,Selva,Comarques Gironines,2018,6919,53,11644,7.66,1683,220,,,0.000523,0.000794,,,,,,,,,,,,,,,,
Madremanya,170979,Gironès,Comarques Gironines,2018,282,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Maià de Montcal,170985,Garrotxa,Comarques Gironines,2018,413,3,95,7.26,230,32,,,0.00003,0.000006,,,,,,,,,,,,,,,,
Maials,251333,Segrià,Ponent,2018,931,11,637,11.82,684,58,,,0.000109,0.000043,,,,,,,,,,,,,,,,
Maldà,251305,Urgell,Ponent,2018,225,3,141,13.33,627,47,,,0.00003,0.00001,,,,,,,,,,,,,,,,
Malgrat de Mar,81108,Maresme,Metropolità,2018,18439,272,33956,14.75,1842,125,0.9142,0.7029,0.002686,0.002315,8,16,29,36,68,19,77,19,801,3538,4566,6791,5015,1757,9617,1871
Malla,81115,Osona,Comarques Centrals,2018,271,10,8980,36.9,33137,898,,,0.000099,0.000612,,,,,,,,,,,,,,,,
Manlleu,81120,Osona,Comarques Centrals,2018,20194,262,32096,12.97,1589,123,0.9144,0.7728,0.002587,0.002188,16,28,14,31,48,20,90,15,3919,5413,3709,4651,3421,1768,7955,1260
