Municipi,Codi_ine_6_txt,Comarca,Àmbit territorial,Any,Població,Establiments,Superfície de venda (m2),Densitat comercial (est. / 1.000 hab.),Densitat comercial (m2 / 1.000 hab.),Superfície mitjana per establiment (m2),Percentatge d'establiments dintre de TUC,Percentatge de superfície de venda dintre de TUC,Percentatge d'establiments,Percentatge de superfície de venda,Altres,Automoció i carburants,Comerç mixt,Equipament llar,Equipament persona,Lleure i cultura,Quotidià alimentari (exc. vending),Quotidià no alimentari,Superfície Altres,Superfície Automoció i carburants,Superfície Comerç mixt,Superfície Equipament llar,Superfície Equipament persona,Superfície Lleure i cultura,Superfície Quotidià alimentari (exc. vending),Superfície Quotidià no alimentari
Palamós,171181,Baix Empordà,Comarques Gironines,2018,17898,379,49489,21.18,2765,131,0.9412,852,0.003742,0.003374,19,27,21,63,95,34,107,13,998,6284,5203,10989,7156,2711,14919,1229
"Palau d'Anglesola, el",251581,Pla d'Urgell,Ponent,2018,2163,17,2575,7.86,1190,151,,,0.000168,0.000176,,,,,,,,,,,,,,,,
Palau de Santa Eulàlia,171194,Alt Empordà,Comarques Gironines,2018,95,1,52,10.53,547,52,,,0.00001,0.000004,,,,,,,,,,,,,,,,
Palau-sator,171215,Baix Empordà,Comarques Gironines,2018,295,3,390,10.17,1322,130,,,0.00003,0.000027,,,,,,,,,,,,,,,,
Palau-saverdera,171208,Alt Empordà,Comarques Gironines,2018,1439,8,605,5.56,420,76,,,0.000079,0.000041,,,,,,,,,,,,,,,,
Palau-solità i Plegamans,81568,Vallès Occidental,Metropolità,2018,14636,207,28345,14.14,1937,137,0.7588,617,0.002044,0.001932,14,18,6,42,31,30,53,13,1124,5910,1157,5009,3203,1737,7896,2309
"Pallaresos, els",431009,Tarragonès,Camp de Tarragona,2018,4739,17,3632,3.59,766,214,,,0.000168,0.000248,,,,,,,,,,,,,,,,
Pallejà,81574,Baix Llobregat,Metropolità,2018,11486,97,13017,8.45,1133,134,875,0.7703,0.000958,0.000887,8,9,5,18,14,10,30,3,837,2852,1582,2138,700,562,3862,484
"Palma d'Ebre, la",430995,Ribera d'Ebre,Terres de l'Ebre,2018,353,4,328,11.33,929,82,,,0.000039,0.000022,,,,,,,,,,,,,,,,
"Palma de Cervelló, la",89058,Baix Llobregat,Metropolità,2018,2982,27,7490,9.05,2512,277,,,0.000267,0.000511,,,,,,,,,,,,,,,,
Palol de Revardit,171236,Pla de l'Estany,Comarques Gironines,2018,467,5,1336,10.71,2861,267,,,0.000049,0.000091,,,,,,,,,,,,,,,,
Pals,171241,Baix Empordà,Comarques Gironines,2018,2461,36,4060,14.63,1650,113,,,0.000355,0.000277,,,,,,,,,,,,,,,,
"Papiol, el",81580,Baix Llobregat,Metropolità,2018,4103,35,7193,8.53,1753,206,,,0.000346,0.00049,,,,,,,,,,,,,,,,
Pardines,171254,Ripollès,Comarques Gironines,2018,162,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Parets del Vallès,81593,Vallès Oriental,Metropolità,2018,19041,177,44618,9.3,2343,252,0.7544,0.5148,0.001748,0.003042,10,27,11,37,16,15,47,14,743,9245,4237,10966,993,2810,6484,9140
Parlavà,171267,Baix Empordà,Comarques Gironines,2018,394,7,1055,17.77,2678,151,,,0.000069,0.000072,,,,,,,,,,,,,,,,
Passanant i Belltall,431016,Conca de Barberà,Camp de Tarragona,2018,150,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Pau,171289,Alt Empordà,Comarques Gironines,2018,547,3,349,5.48,638,116,,,0.00003,0.000024,,,,,,,,,,,,,,,,
Paüls,431021,Baix Ebre,Terres de l'Ebre,2018,561,2,287,3.57,512,144,,,0.00002,0.00002,,,,,,,,,,,,,,,,
Pedret i Marzà,171292,Alt Empordà,Comarques Gironines,2018,195,3,621,15.38,3185,207,,,0.00003,0.000042,,,,,,,,,,,,,,,,
Penelles,251641,Noguera,Ponent,2018,462,3,333,6.49,721,111,,,0.00003,0.000023,,,,,,,,,,,,,,,,
"Pera, la",171306,Baix Empordà,Comarques Gironines,2018,447,8,725,17.9,1622,91,,,0.000079,0.000049,,,,,,,,,,,,,,,,
Perafita,81607,Osona,Comarques Centrals,2018,412,4,137,9.71,333,34,,,0.000039,0.000009,,,,,,,,,,,,,,,,
Perafort,431037,Tarragonès,Camp de Tarragona,2018,1265,15,3895,11.86,3079,260,,,0.000148,0.000266,,,,,,,,,,,,,,,,
Peralada,171328,Alt Empordà,Comarques Gironines,2018,1868,14,863,7.49,462,62,,,0.000138,0.000059,,,,,,,,,,,,,,,,
Peramola,251654,Alt Urgell,Alt Pirineu i Aran,2018,353,4,168,11.33,476,42,,,0.000039,0.000011,,,,,,,,,,,,,,,,
"Perelló, el",431042,Baix Ebre,Terres de l'Ebre,2018,2863,48,3515,16.77,1228,73,,,0.000474,0.00024,,,,,,,,,,,,,,,,
Piera,81614,Anoia,Penedès,2018,15362,144,22353,9.37,1455,155,0.8611,0.8181,0.001422,0.001524,6,16,5,29,24,12,41,11,541,4044,1522,5309,1629,1743,6316,1249
"Piles, les",431055,Conca de Barberà,Camp de Tarragona,2018,210,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Pineda de Mar,81635,Maresme,Metropolità,2018,26659,328,43598,12.3,1635,133,0.9469,0.8824,0.003239,0.002972,20,21,24,56,58,25,101,23,1561,6660,6203,7413,3245,2024,13496,2996
"Pinell de Brai, el",431068,Terra Alta,Terres de l'Ebre,2018,998,11,1573,11.02,1576,143,,,0.000109,0.000107,,,,,,,,,,,,,,,,
Pinell de Solsonès,251667,Solsonès,Comarques Centrals,2018,203,1,120,4.93,591,120,,,0.00001,0.000008,,,,,,,,,,,,,,,,
Pinós,251673,Solsonès,Comarques Centrals,2018,298,1,1270,3.36,4262,1270,,,0.00001,0.000087,,,,,,,,,,,,,,,,
Pira,431074,Conca de Barberà,Camp de Tarragona,2018,503,2,371,3.98,738,186,,,0.00002,0.000025,,,,,,,,,,,,,,,,
"Pla de Santa Maria, el",431080,Alt Camp,Camp de Tarragona,2018,2305,21,1810,9.11,785,86,,,0.000207,0.000123,,,,,,,,,,,,,,,,
"Pla del Penedès, el",81640,Alt Penedès,Penedès,2018,1259,7,1945,5.56,1545,278,,,0.000069,0.000133,,,,,,,,,,,,,,,,
"Planes d'Hostoles, les",171334,Garrotxa,Comarques Gironines,2018,1660,22,1314,13.25,792,60,,,0.000217,0.00009,,,,,,,,,,,,,,,,
Planoles,171349,Ripollès,Comarques Gironines,2018,303,2,82,6.6,271,41,,,0.00002,0.000006,,,,,,,,,,,,,,,,
"Plans de Sió, els",259118,Segarra,Ponent,2018,507,3,479,5.92,945,160,,,0.00003,0.000033,,,,,,,,,,,,,,,,
"Poal, el",251689,Pla d'Urgell,Ponent,2018,626,8,458,12.78,732,57,,,0.000079,0.000031,,,,,,,,,,,,,,,,
"Pobla de Cérvoles, la",251692,Garrigues,Ponent,2018,191,2,44,10.47,230,22,,,0.00002,0.000003,,,,,,,,,,,,,,,,
"Pobla de Claramunt, la",81653,Anoia,Penedès,2018,2177,12,3546,5.51,1629,296,,,0.000118,0.000242,,,,,,,,,,,,,,,,
"Pobla de Lillet, la",81666,Berguedà,Comarques Centrals,2018,1101,19,1040,17.26,945,55,,,0.000188,0.000071,,,,,,,,,,,,,,,,
"Pobla de Mafumet, la",431093,Tarragonès,Camp de Tarragona,2018,3893,25,6496,6.42,1669,260,,,0.000247,0.000443,,,,,,,,,,,,,,,,
"Pobla de Massaluca, la",431107,Terra Alta,Terres de l'Ebre,2018,328,4,335,12.2,1021,84,,,0.000039,0.000023,,,,,,,,,,,,,,,,
"Pobla de Montornès, la",431114,Tarragonès,Camp de Tarragona,2018,2828,17,1384,6.01,489,81,,,0.000168,0.000094,,,,,,,,,,,,,,,,
"Pobla de Segur, la",251713,Pallars Jussà,Alt Pirineu i Aran,2018,2939,55,9731,18.71,3311,177,,,0.000543,0.000663,,,,,,,,,,,,,,,,
Poboleda,431129,Priorat,Camp de Tarragona,2018,335,9,369,26.87,1101,41,,,0.000089,0.000025,,,,,,,,,,,,,,,,
Polinyà,81672,Vallès Occidental,Metropolità,2018,8389,65,11173,7.75,1332,172,0.8033,0.6763,0.000642,0.000762,,,,,,,,,,,,,,,,
"Pont d'Armentera, el",431135,Alt Camp,Camp de Tarragona,2018,512,9,866,17.58,1691,96,,,0.000089,0.000059,,,,,,,,,,,,,,,,
"Pont de Bar, el",250306,Alt Urgell,Alt Pirineu i Aran,2018,171,1,34,5.85,199,34,,,0.00001,0.000002,,,,,,,,,,,,,,,,
Pont de Molins,171352,Alt Empordà,Comarques Gironines,2018,530,6,1061,11.32,2002,177,,,0.000059,0.000072,,,,,,,,,,,,,,,,
"Pont de Suert, el",251734,Alta Ribagorça,Alt Pirineu i Aran,2018,2216,59,5972,26.62,2695,101,0.9091,0.8396,0.000583,0.000407,,,,,,,,,,,,,,,,
"Pont de Vilomara i Rocafort, el",81825,Bages,Comarques Centrals,2018,3801,22,2847,5.79,749,129,,,0.000217,0.000194,,,,,,,,,,,,,,,,
Pontils,431418,Conca de Barberà,Camp de Tarragona,2018,114,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Pontons,81688,Alt Penedès,Penedès,2018,458,3,173,6.55,378,58,,,0.00003,0.000012,,,,,,,,,,,,,,,,
Pontós,171365,Alt Empordà,Comarques Gironines,2018,247,2,415,8.1,1680,208,,,0.00002,0.000028,,,,,,,,,,,,,,,,
Ponts,251728,Noguera,Ponent,2018,2604,51,7017,19.59,2695,138,,,0.000504,0.000478,,,,,,,,,,,,,,,,
Porqueres,171371,Pla de l'Estany,Comarques Gironines,2018,4595,28,5673,6.09,1235,203,,,0.000276,0.000387,,,,,,,,,,,,,,,,
Porrera,431140,Priorat,Camp de Tarragona,2018,441,7,307,15.87,696,44,,,0.000069,0.000021,,,,,,,,,,,,,,,,
"Port de la Selva, el",171404,Alt Empordà,Comarques Gironines,2018,980,33,3431,33.67,3501,104,,,0.000326,0.000234,,,,,,,,,,,,,,,,
Portbou,171387,Alt Empordà,Comarques Gironines,2018,1077,24,1792,22.28,1664,75,,,0.000237,0.000122,,,,,,,,,,,,,,,,
"Portella, la",251749,Segrià,Ponent,2018,703,6,772,8.53,1098,129,,,0.000059,0.000053,,,,,,,,,,,,,,,,
Pradell de la Teixeta,431153,Priorat,Camp de Tarragona,2018,159,2,82,12.58,516,41,,,0.00002,0.000006,,,,,,,,,,,,,,,,
Prades,431166,Baix Camp,Camp de Tarragona,2018,589,9,560,15.28,951,62,,,0.000089,0.000038,,,,,,,,,,,,,,,,
Prat de Comte,431172,Terra Alta,Terres de l'Ebre,2018,179,1,16,5.59,89,16,,,0.00001,0.000001,,,,,,,,,,,,,,,,
"Prat de Llobregat, el",81691,Baix Llobregat,Metropolità,2018,64132,906,142532,14.13,2222,157,0.7805,0.5112,0.008946,0.009717,44,74,47,146,182,67,293,53,4862,19859,23613,19766,28110,10027,32139,4156
Pratdip,431188,Baix Camp,Camp de Tarragona,2018,709,4,408,5.64,575,102,,,0.000039,0.000028,,,,,,,,,,,,,,,,
Prats de Lluçanès,81712,Osona,Comarques Centrals,2018,2537,53,5947,20.89,2344,112,,,0.000523,0.000405,,,,,,,,,,,,,,,,
"Prats de Rei, els",81705,Anoia,Comarques Centrals,2018,545,5,804,9.17,1475,161,,,0.000049,0.000055,,,,,,,,,,,,,,,,
Prats i Sansor,251752,Cerdanya,Alt Pirineu i Aran,2018,231,2,903,8.66,3909,452,,,0.00002,0.000062,,,,,,,,,,,,,,,,
Preixana,251765,Urgell,Ponent,2018,385,4,288,10.39,748,72,,,0.000039,0.00002,,,,,,,,,,,,,,,,
Preixens,251771,Noguera,Ponent,2018,428,2,75,4.67,175,38,,,0.00002,0.000005,,,,,,,,,,,,,,,,
Premià de Dalt,82303,Maresme,Metropolità,2018,10429,60,5071,5.75,486,85,0.9322,0.8665,0.000592,0.000346,4,4,5,9,5,3,26,4,634,919,314,529,208,142,2055,270
Premià de Mar,81727,Maresme,Metropolità,2018,28071,381,35352,13.57,1259,93,0.9592,0.9395,0.003762,0.00241,28,23,17,60,70,28,128,27,1701,4070,2192,6173,4959,2546,11491,2220
"Preses, les",171390,Garrotxa,Comarques Gironines,2018,1763,22,9963,12.48,5651,453,0.6818,0.1409,0.000217,0.000679,,,,,,,,,,,,,,,,
Prullans,251790,Cerdanya,Alt Pirineu i Aran,2018,224,5,404,22.32,1804,81,,,0.000049,0.000028,,,,,,,,,,,,,,,,
Puig-reig,81751,Berguedà,Comarques Centrals,2018,4094,72,7252,17.59,1771,101,,,0.000711,0.000494,,,,,,,,,,,,,,,,
Puigcerdà,171411,Cerdanya,Alt Pirineu i Aran,2018,8981,249,27153,27.73,3023,109,834,686,0.002459,0.001851,,,,,,,,,,,,,,,,
Puigdàlber,81748,Alt Penedès,Penedès,2018,518,3,218,5.79,421,73,,,0.00003,0.000015,,,,,,,,,,,,,,,,
Puiggròs,251804,Garrigues,Ponent,2018,272,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Puigpelat,431191,Alt Camp,Camp de Tarragona,2018,1151,6,1025,5.21,891,171,,,0.000059,0.00007,,,,,,,,,,,,,,,,
Puigverd d'Agramunt,251811,Urgell,Ponent,2018,231,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Puigverd de Lleida,251826,Segrià,Ponent,2018,1363,9,655,6.6,481,73,,,0.000089,0.000045,,,,,,,,,,,,,,,,
Pujalt,81764,Anoia,Comarques Centrals,2018,207,3,70,14.49,338,23,,,0.00003,0.000005,,,,,,,,,,,,,,,,
"Quar, la",81770,Berguedà,Comarques Centrals,2018,60,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Quart,171426,Gironès,Comarques Gironines,2018,3640,21,4087,5.77,1123,195,,,0.000207,0.000279,,,,,,,,,,,,,,,,
Queralbs,170433,Ripollès,Comarques Gironines,2018,186,2,23,10.75,124,12,,,0.00002,0.000002,,,,,,,,,,,,,,,,
Querol,431205,Alt Camp,Camp de Tarragona,2018,521,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Rabós,171432,Alt Empordà,Comarques Gironines,2018,179,2,90,11.17,503,45,,,0.00002,0.000006,,,,,,,,,,,,,,,,
Rajadell,81786,Bages,Comarques Centrals,2018,539,63,2050,116.88,3803,33,,,0.000622,0.00014,,,,,,,,,,,,,,,,
Rasquera,431212,Ribera d'Ebre,Terres de l'Ebre,2018,787,12,1441,15.25,1831,120,,,0.000118,0.000098,,,,,,,,,,,,,,,,
Regencós,171447,Baix Empordà,Comarques Gironines,2018,276,4,2513,14.49,9105,628,,,0.000039,0.000171,,,,,,,,,,,,,,,,
Rellinars,81799,Vallès Occidental,Metropolità,2018,747,2,158,2.68,212,79,,,0.00002,0.000011,,,,,,,,,,,,,,,,
Renau,431227,Tarragonès,Camp de Tarragona,2018,153,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Reus,431233,Baix Camp,Camp de Tarragona,2018,103477,1548,272096,14.96,2630,176,0.9316,0.8178,0.015285,0.01855,99,112,56,309,325,120,430,97,10492,42768,29289,52801,43970,15648,65928,11200
Rialp,251832,Pallars Sobirà,Alt Pirineu i Aran,2018,663,6,983,9.05,1483,164,,,0.000059,0.000067,,,,,,,,,,,,,,,,
Riba-roja d'Ebre,431251,Ribera d'Ebre,Terres de l'Ebre,2018,1112,17,1322,15.29,1189,78,,,0.000168,0.00009,,,,,,,,,,,,,,,,
"Riba, la",431248,Alt Camp,Camp de Tarragona,2018,576,2,118,3.47,205,59,,,0.00002,0.000008,,,,,,,,,,,,,,,,
Ribera d'Ondara,259059,Segarra,Ponent,2018,422,4,495,9.48,1173,124,,,0.000039,0.000034,,,,,,,,,,,,,,,,
Ribera d'Urgellet,251850,Alt Urgell,Alt Pirineu i Aran,2018,923,5,188,5.42,204,38,,,0.000049,0.000013,,,,,,,,,,,,,,,,
Ribes de Freser,171450,Ripollès,Comarques Gironines,2018,1766,35,1947,19.82,1102,56,,,0.000346,0.000133,,,,,,,,,,,,,,,,
Riells i Viabrea,171463,Selva,Comarques Gironines,2018,4002,23,3270,5.75,817,142,,,0.000227,0.000223,,,,,,,,,,,,,,,,
"Riera de Gaià, la",431264,Tarragonès,Camp de Tarragona,2018,1701,12,1069,7.05,628,89,,,0.000118,0.000073,,,,,,,,,,,,,,,,
Riner,251863,Solsonès,Comarques Centrals,2018,261,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Ripoll,171479,Ripollès,Comarques Gironines,2018,10632,175,21711,16.46,2042,124,0.8294,742,0.001728,0.00148,11,22,6,29,30,14,51,12,1920,4207,2685,2792,2059,1127,5204,1717
Ripollet,81803,Vallès Occidental,Metropolità,2018,38347,370,52696,9.65,1374,142,0.8532,0.6722,0.003653,0.003592,28,37,14,67,49,28,120,27,4791,9323,4417,12039,3638,2065,13596,2827
Riu de Cerdanya,259139,Cerdanya,Alt Pirineu i Aran,2018,94,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Riudarenes,171485,Selva,Comarques Gironines,2018,2181,13,1503,5.96,689,116,,,0.000128,0.000102,,,,,,,,,,,,,,,,
Riudaura,171498,Garrotxa,Comarques Gironines,2018,462,1,127,2.16,275,127,,,0.00001,0.000009,,,,,,,,,,,,,,,,
Riudecanyes,431270,Baix Camp,Camp de Tarragona,2018,1131,8,595,7.07,526,74,,,0.000079,0.000041,,,,,,,,,,,,,,,,
Riudecols,431286,Baix Camp,Camp de Tarragona,2018,1186,11,1386,9.27,1169,126,,,0.000109,0.000094,,,,,,,,,,,,,,,,
Riudellots de la Selva,171501,Selva,Comarques Gironines,2018,2059,31,7377,15.06,3583,238,,,0.000306,0.000503,,,,,,,,,,,,,,,,
Riudoms,431299,Baix Camp,Camp de Tarragona,2018,6565,80,15116,12.19,2303,189,0.8101,0.3862,0.00079,0.001031,,,,,,,,,,,,,,,,
Riumors,171518,Alt Empordà,Comarques Gironines,2018,263,1,9,3.8,34,9,,,0.00001,0.000001,,,,,,,,,,,,,,,,
"Roca del Vallès, la",81810,Vallès Oriental,Metropolità,2018,10666,190,32098,17.81,3009,169,0.1872,0.1155,0.001876,0.002188,11,17,3,24,90,13,23,9,968,5784,747,3941,14633,2434,2727,864
Rocafort de Queralt,431303,Conca de Barberà,Camp de Tarragona,2018,260,1,112,3.85,431,112,,,0.00001,0.000008,,,,,,,,,,,,,,,,
Roda de Berà,431310,Tarragonès,Camp de Tarragona,2018,6461,86,16850,13.31,2608,196,,,0.000849,0.001149,,,,,,,,,,,,,,,,
Roda de Ter,81831,Osona,Comarques Centrals,2018,6197,56,5697,9.04,919,102,0.9818,0.9036,0.000553,0.000388,,,,,,,,,,,,,,,,
Rodonyà,431325,Alt Camp,Camp de Tarragona,2018,480,6,2642,12.5,5504,440,,,0.000059,0.00018,,,,,,,,,,,,,,,,
Roquetes,431331,Baix Ebre,Terres de l'Ebre,2018,7961,73,10947,9.17,1375,150,0.8451,0.4354,0.000721,0.000746,,,,,,,,,,,,,,,,
Roses,171523,Alt Empordà,Comarques Gironines,2018,19319,369,47406,19.1,2454,128,925,0.8629,0.003644,0.003232,19,20,18,72,100,25,93,22,1329,5051,4350,7532,6785,2248,17716,2395
Rosselló,251898,Segrià,Ponent,2018,3130,21,2332,6.71,745,111,,,0.000207,0.000159,,,,,,,,,,,,,,,,
"Rourell, el",431346,Alt Camp,Camp de Tarragona,2018,384,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Rubí,81846,Vallès Occidental,Metropolità,2018,76423,770,114455,10.08,1498,149,0.8591,0.7545,0.007603,0.007803,64,50,36,145,115,58,253,49,10771,12679,10365,21763,8102,5152,41163,4460
Rubió,81859,Anoia,Penedès,2018,232,2,148,8.62,638,74,,,0.00002,0.00001,,,,,,,,,,,,,,,,
Rupià,171539,Baix Empordà,Comarques Gironines,2018,269,6,428,22.3,1591,71,,,0.000059,0.000029,,,,,,,,,,,,,,,,
Rupit i Pruit,89019,Osona,Comarques Centrals,2018,279,9,390,32.26,1398,43,,,0.000089,0.000027,,,,,,,,,,,,,,,,
Sabadell,81878,Vallès Occidental,Metropolità,2018,211734,2575,444830,12.16,2101,173,0.9615,0.7917,0.025426,0.030326,197,197,96,428,462,192,849,154,25071,66347,93608,65545,53327,23308,102635,14989
Sagàs,81884,Berguedà,Comarques Centrals,2018,161,1,17,6.21,106,17,,,0.00001,0.000001,,,,,,,,,,,,,,,,
Salàs de Pallars,251902,Pallars Jussà,Alt Pirineu i Aran,2018,324,4,135,12.35,417,34,,,0.000039,0.000009,,,,,,,,,,,,,,,,
Saldes,81901,Berguedà,Comarques Centrals,2018,265,7,869,26.42,3279,124,,,0.000069,0.000059,,,,,,,,,,,,,,,,
Sales de Llierca,171544,Garrotxa,Comarques Gironines,2018,151,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Sallent,81918,Bages,Comarques Centrals,2018,6636,100,15696,15.07,2365,157,,,0.000987,0.00107,,,,,,,,,,,,,,,,
Salomó,431359,Tarragonès,Camp de Tarragona,2018,564,4,236,7.09,418,59,,,0.000039,0.000016,,,,,,,,,,,,,,,,
Salou,439057,Tarragonès,Camp de Tarragona,2018,26775,375,45910,14.01,1715,122,0.9642,0.9478,0.003703,0.00313,18,18,39,58,94,31,96,21,1105,3732,8444,6280,7188,2736,14838,1587
Salt,171557,Gironès,Comarques Gironines,2018,30622,361,61699,11.79,2015,171,0.9771,0.9375,0.003565,0.004206,23,17,13,63,94,25,100,26,1417,8129,3340,8388,17686,5880,13577,3282
Sanaüja,251919,Segarra,Ponent,2018,393,6,252,15.27,641,42,,,0.000059,0.000017,,,,,,,,,,,,,,,,
Sant Adrià de Besòs,81944,Barcelonès,Metropolità,2018,36669,396,65142,10.8,1776,165,0.9383,0.7544,0.00391,0.004441,20,42,13,42,58,27,172,22,1703,15223,15140,5751,4030,6184,15315,1796
Sant Agustí de Lluçanès,81957,Osona,Comarques Centrals,2018,87,1,104,11.49,1195,104,,,0.00001,0.000007,,,,,,,,,,,,,,,,
Sant Andreu de la Barca,81960,Baix Llobregat,Metropolità,2018,27332,277,37790,10.13,1383,136,0.8608,699,0.002735,0.002576,9,31,17,45,44,24,92,15,908,8305,3266,7815,3765,1829,10459,1443
Sant Andreu de Llavaneres,81976,Maresme,Metropolità,2018,10877,98,13966,9.01,1284,143,,,0.000968,0.000952,3,13,5,20,13,5,31,8,144,5714,1029,3586,748,239,1979,527
Sant Andreu Salou,171576,Gironès,Comarques Gironines,2018,156,3,165,19.23,1058,55,,,0.00003,0.000011,,,,,,,,,,,,,,,,
Sant Aniol de Finestres,171833,Garrotxa,Comarques Gironines,2018,351,2,114,5.7,325,57,,,0.00002,0.000008,,,,,,,,,,,,,,,,
Sant Antoni de Vilamajor,81982,Vallès Oriental,Metropolità,2018,6095,54,5739,8.86,942,106,0.7925,0.5443,0.000533,0.000391,,,,,,,,,,,,,,,,
Sant Bartomeu del Grau,81995,Osona,Comarques Centrals,2018,840,2,53,2.38,63,27,,,0.00002,0.000004,,,,,,,,,,,,,,,,
Sant Boi de Llobregat,82009,Baix Llobregat,Metropolità,2018,82904,958,179728,11.56,2168,188,0.8564,514,0.009459,0.012253,62,89,46,137,134,81,348,61,12039,47715,12221,44185,10622,9658,37928,5360
Sant Boi de Lluçanès,82016,Osona,Comarques Centrals,2018,532,6,451,11.28,848,75,,,0.000059,0.000031,,,,,,,,,,,,,,,,
Sant Carles de la Ràpita,431362,Montsià,Terres de l'Ebre,2018,14611,241,30677,16.49,2100,127,0.8819,0.7218,0.00238,0.002091,16,18,15,45,48,20,71,8,1265,5306,3151,6913,4516,1714,6514,1298
Sant Cebrià de Vallalta,82037,Maresme,Metropolità,2018,3344,33,3290,9.87,984,100,,,0.000326,0.000224,,,,,,,,,,,,,,,,
Sant Celoni,82021,Vallès Oriental,Metropolità,2018,17754,309,42053,17.4,2369,136,0.8704,0.5518,0.003051,0.002867,15,23,16,59,48,27,106,15,1907,8506,2686,10222,4046,2108,11031,1547
Sant Climent de Llobregat,82042,Baix Llobregat,Metropolità,2018,4107,22,2075,5.36,505,94,,,0.000217,0.000141,,,,,,,,,,,,,,,,
Sant Climent Sescebes,171582,Alt Empordà,Comarques Gironines,2018,635,8,314,12.6,494,39,,,0.000079,0.000021,,,,,,,,,,,,,,,,
Sant Cugat del Vallès,82055,Vallès Occidental,Metropolità,2018,90664,1020,148857,11.25,1642,146,0.7305,0.5718,0.010071,0.010148,112,58,23,194,194,121,252,66,11534,20987,6719,43378,17311,8530,34381,6017
Sant Cugat Sesgarrigues,82068,Alt Penedès,Penedès,2018,989,14,7410,14.16,7492,529,,,0.000138,0.000505,,,,,,,,,,,,,,,,
Sant Esteve de la Sarga,251961,Pallars Jussà,Alt Pirineu i Aran,2018,129,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Sant Esteve de Palautordera,82074,Vallès Oriental,Metropolità,2018,2749,31,2233,11.28,812,72,,,0.000306,0.000152,,,,,,,,,,,,,,,,
Sant Esteve Sesrovires,82080,Baix Llobregat,Metropolità,2018,7800,62,8391,7.95,1076,135,,,0.000612,0.000572,,,,,,,,,,,,,,,,
Sant Feliu de Buixalleu,171595,Selva,Comarques Gironines,2018,804,5,1990,6.22,2475,398,,,0.000049,0.000136,,,,,,,,,,,,,,,,
Sant Feliu de Codines,82107,Vallès Oriental,Metropolità,2018,6184,53,5058,8.57,818,95,,,0.000523,0.000345,,,,,,,,,,,,,,,,
Sant Feliu de Guíxols,171609,Baix Empordà,Comarques Gironines,2018,21824,307,40812,14.07,1870,133,0.9467,0.8623,0.003031,0.002782,18,27,12,57,63,22,88,20,2537,5495,6112,7367,4137,1883,11424,1857
Sant Feliu de Llobregat,82114,Baix Llobregat,Metropolità,2018,44474,474,60743,10.66,1366,128,0.9458,0.7936,0.00468,0.004141,34,18,21,87,66,43,172,33,7811,7572,2977,13601,4242,4846,17298,2396
Sant Feliu de Pallerols,171616,Garrotxa,Comarques Gironines,2018,1343,14,845,10.42,629,60,,,0.000138,0.000058,,,,,,,,,,,,,,,,
Sant Feliu Sasserra,82129,Bages,Comarques Centrals,2018,600,9,360,15,600,40,,,0.000089,0.000025,,,,,,,,,,,,,,,,
Sant Ferriol,171621,Garrotxa,Comarques Gironines,2018,245,1,163,4.08,665,163,,,0.00001,0.000011,,,,,,,,,,,,,,,,
Sant Fost de Campsentelles,82093,Vallès Oriental,Metropolità,2018,8722,45,8453,5.16,969,188,0.8605,0.7777,0.000444,0.000576,,,,,,,,,,,,,,,,
Sant Fruitós de Bages,82135,Bages,Comarques Centrals,2018,8593,128,36331,14.9,4228,284,0.4252,0.2164,0.001264,0.002477,,,,,,,,,,,,,,,,
Sant Gregori,171637,Gironès,Comarques Gironines,2018,3740,32,3356,8.56,897,105,,,0.000316,0.000229,,,,,,,,,,,,,,,,
Sant Guim de Freixenet,251924,Segarra,Ponent,2018,1040,22,1892,21.15,1819,86,,,0.000217,0.000129,,,,,,,,,,,,,,,,
Sant Guim de la Plana,251977,Segarra,Ponent,2018,177,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Sant Hilari Sacalm,171642,Selva,Comarques Gironines,2018,5591,71,9630,12.7,1722,136,,,0.000701,0.000657,,,,,,,,,,,,,,,,
Sant Hipòlit de Voltregà,82153,Osona,Comarques Centrals,2018,3475,36,3159,10.36,909,88,,,0.000355,0.000215,,,,,,,,,,,,,,,,
Sant Iscle de Vallalta,81939,Maresme,Metropolità,2018,1313,11,2455,8.38,1870,223,,,0.000109,0.000167,,,,,,,,,,,,,,,,
Sant Jaume d'Enveja,439023,Montsià,Terres de l'Ebre,2018,3481,36,4061,10.34,1167,113,,,0.000355,0.000277,,,,,,,,,,,,,,,,
