Municipi,Codi_ine_6_txt,Comarca,Àmbit territorial,Any,Població,Establiments,Superfície de venda (m2),Densitat comercial (est. / 1.000 hab.),Densitat comercial (m2 / 1.000 hab.),Superfície mitjana per establiment (m2),Percentatge d'establiments dintre de TUC,Percentatge de superfície de venda dintre de TUC,Percentatge d'establiments,Percentatge de superfície de venda,Altres,Automoció i carburants,Comerç mixt,Equipament llar,Equipament persona,Lleure i cultura,Quotidià alimentari (exc. vending),Quotidià no alimentari,Superfície Altres,Superfície Automoció i carburants,Superfície Comerç mixt,Superfície Equipament llar,Superfície Equipament persona,Superfície Lleure i cultura,Superfície Quotidià alimentari (exc. vending),Superfície Quotidià no alimentari
Abella de la Conca,250019,Pallars Jussà,Alt Pirineu i Aran,2017,184,2,104,10.87,565,52,,,0.000019,0.000007,,,,,,,,,,,,,,,,
Abrera,80018,Baix Llobregat,Metropolità,2017,12363,121,32292,9.79,2612,267,0.5372,0.1629,0.001172,0.00216,8,10,6,24,17,13,37,6,1351,3425,4881,7924,1596,1036,11604,475
Àger,250024,Noguera,Ponent,2017,586,11,1505,18.77,2568,137,,,0.000107,0.000101,,,,,,,,,,,,,,,,
Agramunt,250030,Urgell,Ponent,2017,5405,96,16802,17.76,3109,175,,,0.00093,0.001124,,,,,,,,,,,,,,,,
Aguilar de Segarra,80023,Bages,Comarques Centrals,2017,263,20,592,76.05,2251,30,,,0.000194,0.00004,,,,,,,,,,,,,,,,
Agullana,170010,Alt Empordà,Comarques Gironines,2017,831,10,2522,12.03,3035,252,,,0.000097,0.000169,,,,,,,,,,,,,,,,
Aiguafreda,80142,Vallès Oriental,Metropolità,2017,2514,27,4622,10.74,1839,171,,,0.000262,0.000309,,,,,,,,,,,,,,,,
Aiguamúrcia,430017,Alt Camp,Camp de Tarragona,2017,893,8,668,8.96,748,84,,,0.000078,0.000045,,,,,,,,,,,,,,,,
Aiguaviva,170025,Gironès,Comarques Gironines,2017,779,11,831,14.12,1067,76,,,0.000107,0.000056,,,,,,,,,,,,,,,,
Aitona,250387,Segrià,Ponent,2017,2548,27,2724,10.6,1069,101,,,0.000262,0.000182,,,,,,,,,,,,,,,,
"Alamús, els",250045,Segrià,Ponent,2017,777,9,2026,11.58,2607,225,,,0.000087,0.000136,,,,,,,,,,,,,,,,
Alàs i Cerc,250058,Alt Urgell,Alt Pirineu i Aran,2017,351,1,102,2.85,291,102,,,0.00001,0.000007,,,,,,,,,,,,,,,,
"Albagés, l'",250061,Garrigues,Ponent,2017,393,3,138,7.63,351,46,,,0.000029,0.000009,,,,,,,,,,,,,,,,
Albanyà,170031,Alt Empordà,Comarques Gironines,2017,141,1,114,7.09,809,114,,,0.00001,0.000008,,,,,,,,,,,,,,,,
Albatàrrec,250077,Segrià,Ponent,2017,2275,14,1080,6.15,475,77,,,0.000136,0.000072,,,,,,,,,,,,,,,,
Albesa,250083,Noguera,Ponent,2017,1582,10,555,6.32,351,56,,,0.000097,0.000037,,,,,,,,,,,,,,,,
"Albi, l'",250096,Garrigues,Ponent,2017,781,9,460,11.52,589,51,,,0.000087,0.000031,,,,,,,,,,,,,,,,
Albinyana,430022,Baix Penedès,Penedès,2017,2340,17,1241,7.26,530,73,,,0.000165,0.000083,,,,,,,,,,,,,,,,
"Albiol, l'",430038,Baix Camp,Camp de Tarragona,2017,479,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Albons,170046,Baix Empordà,Comarques Gironines,2017,769,3,120,3.9,156,40,,,0.000029,0.000008,,,,,,,,,,,,,,,,
Alcanar,430043,Montsià,Terres de l'Ebre,2017,9393,143,15603,15.22,1661,109,0.8671,0.6133,0.001385,0.001044,,,,,,,,,,,,,,,,
Alcanó,250100,Segrià,Ponent,2017,243,2,44,8.23,181,22,,,0.000019,0.000003,,,,,,,,,,,,,,,,
Alcarràs,250117,Segrià,Ponent,2017,9363,95,21044,10.15,2248,222,0.8211,0.6144,0.00092,0.001408,,,,,,,,,,,,,,,,
Alcoletge,250122,Segrià,Ponent,2017,3415,29,5299,8.49,1552,183,,,0.000281,0.000354,,,,,,,,,,,,,,,,
Alcover,430056,Alt Camp,Camp de Tarragona,2017,5163,68,10424,13.17,2019,153,,,0.000659,0.000697,,,,,,,,,,,,,,,,
"Aldea, l'",439044,Baix Ebre,Terres de l'Ebre,2017,4211,60,11058,14.25,2626,184,,,0.000581,0.00074,,,,,,,,,,,,,,,,
Aldover,430069,Baix Ebre,Terres de l'Ebre,2017,842,6,375,7.13,445,63,,,0.000058,0.000025,,,,,,,,,,,,,,,,
"Aleixar, l'",430075,Baix Camp,Camp de Tarragona,2017,866,5,380,5.77,439,76,,,0.000048,0.000025,,,,,,,,,,,,,,,,
Alella,80039,Maresme,Metropolità,2017,9625,86,13755,8.94,1429,160,,,0.000833,0.00092,,,,,,,,,,,,,,,,
Alfara de Carles,430081,Baix Ebre,Terres de l'Ebre,2017,369,6,214,16.26,580,36,,,0.000058,0.000014,,,,,,,,,,,,,,,,
Alfarràs,250138,Segrià,Ponent,2017,2879,40,5859,13.89,2035,146,,,0.000388,0.000392,,,,,,,,,,,,,,,,
Alfés,250143,Segrià,Ponent,2017,313,5,685,15.97,2188,137,,,0.000048,0.000046,,,,,,,,,,,,,,,,
Alforja,430094,Baix Camp,Camp de Tarragona,2017,1799,12,1598,6.67,888,133,,,0.000116,0.000107,,,,,,,,,,,,,,,,
Algerri,250156,Noguera,Ponent,2017,417,4,421,9.59,1010,105,,,0.000039,0.000028,,,,,,,,,,,,,,,,
Alguaire,250169,Segrià,Ponent,2017,2970,25,5836,8.42,1965,233,,,0.000242,0.00039,,,,,,,,,,,,,,,,
Alins,250175,Pallars Sobirà,Alt Pirineu i Aran,2017,286,1,9,3.5,31,9,,,0.00001,0.000001,,,,,,,,,,,,,,,,
Alió,430108,Alt Camp,Camp de Tarragona,2017,408,1,52,2.45,127,52,,,0.00001,0.000003,,,,,,,,,,,,,,,,
Almacelles,250194,Segrià,Ponent,2017,6857,71,13747,10.35,2005,194,,,0.000688,0.00092,,,,,,,,,,,,,,,,
Almatret,250208,Segrià,Ponent,2017,319,7,281,21.94,881,40,,,0.000068,0.000019,,,,,,,,,,,,,,,,
Almenar,250215,Segrià,Ponent,2017,3468,37,9666,10.67,2787,261,,,0.000358,0.000647,,,,,,,,,,,,,,,,
Almoster,430115,Baix Camp,Camp de Tarragona,2017,1361,7,792,5.14,582,113,,,0.000068,0.000053,,,,,,,,,,,,,,,,
Alòs de Balaguer,250220,Noguera,Ponent,2017,128,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Alp,170062,Cerdanya,Alt Pirineu i Aran,2017,1499,30,3514,20.01,2344,117,,,0.000291,0.000235,,,,,,,,,,,,,,,,
Alpens,80044,Osona,Comarques Centrals,2017,277,2,137,7.22,495,69,,,0.000019,0.000009,,,,,,,,,,,,,,,,
Alpicat,250236,Segrià,Ponent,2017,6285,51,9806,8.11,1560,192,0.9216,0.9635,0.000494,0.000656,,,,,,,,,,,,,,,,
Alt Àneu,250241,Pallars Sobirà,Alt Pirineu i Aran,2017,405,3,408,7.41,1007,136,,,0.000029,0.000027,,,,,,,,,,,,,,,,
Altafulla,430120,Tarragonès,Camp de Tarragona,2017,5089,66,9643,12.97,1895,146,0.9848,0.9946,0.000639,0.000645,,,,,,,,,,,,,,,,
Amer,170078,Selva,Comarques Gironines,2017,2242,28,2196,12.49,979,78,,,0.000271,0.000147,,,,,,,,,,,,,,,,
"Ametlla de Mar, l'",430136,Baix Ebre,Terres de l'Ebre,2017,6887,139,17812,20.18,2586,128,0.8417,0.4771,0.001347,0.001191,,,,,,,,,,,,,,,,
"Ametlla del Vallès, l'",80057,Vallès Oriental,Metropolità,2017,8368,90,22399,10.76,2677,249,0.3889,128,0.000872,0.001498,,,,,,,,,,,,,,,,
"Ampolla, l'",439060,Baix Ebre,Terres de l'Ebre,2017,3334,58,8292,17.4,2487,143,,,0.000562,0.000555,,,,,,,,,,,,,,,,
Amposta,430141,Montsià,Terres de l'Ebre,2017,20572,389,67413,18.91,3277,173,892,0.7047,0.003769,0.004509,27,35,20,86,62,36,102,21,3743,10268,7130,17417,5646,3990,16958,2261
