Municipi,Codi_ine_6_txt,Comarca,Àmbit territorial,Any,Població,Establiments,Superfície de venda (m2),Densitat comercial (est. / 1.000 hab.),Densitat comercial (m2 / 1.000 hab.),Superfície mitjana per establiment (m2),Percentatge d'establiments dintre de TUC,Percentatge de superfície de venda dintre de TUC,Percentatge d'establiments,Percentatge de superfície de venda,Altres,Automoció i carburants,Comerç mixt,Equipament llar,Equipament persona,Lleure i cultura,Quotidià alimentari (exc. vending),Quotidià no alimentari,Superfície Altres,Superfície Automoció i carburants,Superfície Comerç mixt,Superfície Equipament llar,Superfície Equipament persona,Superfície Lleure i cultura,Superfície Quotidià alimentari (exc. vending),Superfície Quotidià no alimentari
Abella de la Conca,250019,Pallars Jussà,Alt Pirineu i Aran,2019,179,1,40,5.59,223,40,,,0.00001,0.000004,,,,,,,,,,,,,,,,
Abrera,80018,Baix Llobregat,Metropolità,2019,12489,115,18628,9.21,1492,162,0.5263,0.1943,0.00117,0.001642,8,12,5,24,14,11,34,7,1511,2869,4336,5413,963,597,2517,422
Àger,250024,Noguera,Ponent,2019,588,10,1152,17.01,1959,115,,,0.000102,0.000102,,,,,,,,,,,,,,,,
Agramunt,250030,Urgell,Ponent,2019,5371,99,13595,18.43,2531,137,,,0.001007,0.001198,,,,,,,,,,,,,,,,
Aguilar de Segarra,80023,Bages,Comarques Centrals,2019,288,33,508,114.58,1764,15,,,0.000336,0.000045,,,,,,,,,,,,,,,,
Agullana,170010,Alt Empordà,Comarques Gironines,2019,831,6,1411,7.22,1698,235,,,0.000061,0.000124,,,,,,,,,,,,,,,,
Aiguafreda,80142,Vallès Oriental,Metropolità,2019,2504,25,3984,9.98,1591,159,,,0.000254,0.000351,,,,,,,,,,,,,,,,
Aiguamúrcia,430017,Alt Camp,Camp de Tarragona,2019,901,8,492,8.88,546,62,,,0.000081,0.000043,,,,,,,,,,,,,,,,
Aiguaviva,170025,Gironès,Comarques Gironines,2019,756,10,1188,13.23,1571,119,,,0.000102,0.000105,,,,,,,,,,,,,,,,
Aitona,250387,Segrià,Ponent,2019,2591,25,2272,9.65,877,91,,,0.000254,0.0002,,,,,,,,,,,,,,,,
"Alamús, els",250045,Segrià,Ponent,2019,819,9,2164,10.99,2642,240,,,0.000092,0.000191,,,,,,,,,,,,,,,,
Alàs i Cerc,250058,Alt Urgell,Alt Pirineu i Aran,2019,329,1,83,3.04,252,83,,,0.00001,0.000007,,,,,,,,,,,,,,,,
"Albagés, l'",250061,Garrigues,Ponent,2019,369,3,107,8.13,290,36,,,0.000031,0.000009,,,,,,,,,,,,,,,,
Albanyà,170031,Alt Empordà,Comarques Gironines,2019,157,1,1,6.37,6,1,,,0.00001,0,,,,,,,,,,,,,,,,
Albatàrrec,250077,Segrià,Ponent,2019,2221,11,953,4.95,429,87,,,0.000112,0.000084,,,,,,,,,,,,,,,,
Albesa,250083,Noguera,Ponent,2019,1556,9,562,5.78,361,62,,,0.000092,0.00005,,,,,,,,,,,,,,,,
"Albi, l'",250096,Garrigues,Ponent,2019,764,9,405,11.78,530,45,,,0.000092,0.000036,,,,,,,,,,,,,,,,
Albinyana,430022,Baix Penedès,Penedès,2019,2438,14,1018,5.74,418,73,,,0.000142,0.00009,,,,,,,,,,,,,,,,
"Albiol, l'",430038,Baix Camp,Camp de Tarragona,2019,485,1,11,2.06,23,11,,,0.00001,0.000001,,,,,,,,,,,,,,,,
Albons,170046,Baix Empordà,Comarques Gironines,2019,776,4,138,5.15,178,35,,,0.000041,0.000012,,,,,,,,,,,,,,,,
Alcanar,430043,Montsià,Terres de l'Ebre,2019,9418,138,13282,14.65,1410,96,0.8731,0.6331,0.001404,0.00117,,,,,,,,,,,,,,,,
Alcanó,250100,Segrià,Ponent,2019,235,2,34,8.51,145,17,,,0.00002,0.000003,,,,,,,,,,,,,,,,
Alcarràs,250117,Segrià,Ponent,2019,9514,104,16217,10.93,1705,156,0.6733,0.4116,0.001058,0.001429,,,,,,,,,,,,,,,,
Alcoletge,250122,Segrià,Ponent,2019,3420,28,3909,8.19,1143,140,,,0.000285,0.000344,,,,,,,,,,,,,,,,
Alcover,430056,Alt Camp,Camp de Tarragona,2019,5064,59,7726,11.65,1526,131,,,0.0006,0.000681,,,,,,,,,,,,,,,,
"Aldea, l'",439044,Baix Ebre,Terres de l'Ebre,2019,4160,64,9151,15.38,2200,143,,,0.000651,0.000806,,,,,,,,,,,,,,,,
