Municipi,Codi_ine_6_txt,Comarca,Àmbit territorial,Any,Població,Establiments,Superfície de venda (m2),Densitat comercial (est. / 1.000 hab.),Densitat comercial (m2 / 1.000 hab.),Superfície mitjana per establiment (m2),Percentatge d'establiments dintre de TUC,Percentatge de superfície de venda dintre de TUC,Percentatge d'establiments,Percentatge de superfície de venda,Altres,Automoció i carburants,Comerç mixt,Equipament llar,Equipament persona,Lleure i cultura,Quotidià alimentari (exc. vending),Quotidià no alimentari,Superfície Altres,Superfície Automoció i carburants,Superfície Comerç mixt,Superfície Equipament llar,Superfície Equipament persona,Superfície Lleure i cultura,Superfície Quotidià alimentari (exc. vending),Superfície Quotidià no alimentari
Aldover,430069,Baix Ebre,Terres de l'Ebre,2019,882,8,248,9.07,281,31,,,0.000081,0.000022,,,,,,,,,,,,,,,,
"Aleixar, l'",430075,Baix Camp,Camp de Tarragona,2019,873,5,239,5.73,274,48,,,0.000051,0.000021,,,,,,,,,,,,,,,,
Alella,80039,Maresme,Metropolità,2019,9801,76,10044,7.75,1025,132,,,0.000773,0.000885,,,,,,,,,,,,,,,,
Alfara de Carles,430081,Baix Ebre,Terres de l'Ebre,2019,377,7,217,18.57,576,31,,,0.000071,0.000019,,,,,,,,,,,,,,,,
Alfarràs,250138,Segrià,Ponent,2019,2797,41,4704,14.66,1682,115,,,0.000417,0.000415,,,,,,,,,,,,,,,,
Alfés,250143,Segrià,Ponent,2019,312,5,510,16.03,1635,102,,,0.000051,0.000045,,,,,,,,,,,,,,,,
Alforja,430094,Baix Camp,Camp de Tarragona,2019,1801,9,949,5,527,105,,,0.000092,0.000084,,,,,,,,,,,,,,,,
Algerri,250156,Noguera,Ponent,2019,386,4,358,10.36,927,90,,,0.000041,0.000032,,,,,,,,,,,,,,,,
Alguaire,250169,Segrià,Ponent,2019,2971,23,4451,7.74,1498,194,,,0.000234,0.000392,,,,,,,,,,,,,,,,
Alins,250175,Pallars Sobirà,Alt Pirineu i Aran,2019,276,1,7,3.62,25,7,,,0.00001,0.000001,,,,,,,,,,,,,,,,
Alió,430108,Alt Camp,Camp de Tarragona,2019,439,1,40,2.28,91,40,,,0.00001,0.000004,,,,,,,,,,,,,,,,
Almacelles,250194,Segrià,Ponent,2019,6791,69,11343,10.16,1670,164,0.9701,0.8828,0.000702,1,,,,,,,,,,,,,,,,
Almatret,250208,Segrià,Ponent,2019,307,6,127,19.54,414,21,,,0.000061,0.000011,,,,,,,,,,,,,,,,
Almenar,250215,Segrià,Ponent,2019,3398,37,7939,10.89,2336,215,,,0.000376,0.0007,,,,,,,,,,,,,,,,
Almoster,430115,Baix Camp,Camp de Tarragona,2019,1351,7,716,5.18,530,102,,,0.000071,0.000063,,,,,,,,,,,,,,,,
Alòs de Balaguer,250220,Noguera,Ponent,2019,130,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Alp,170062,Cerdanya,Alt Pirineu i Aran,2019,1580,28,2976,17.72,1884,106,,,0.000285,0.000262,,,,,,,,,,,,,,,,
Alpens,80044,Osona,Comarques Centrals,2019,266,2,108,7.52,406,54,,,0.00002,0.00001,,,,,,,,,,,,,,,,
Alpicat,250236,Segrià,Ponent,2019,6255,47,7236,7.51,1157,154,0.7674,0.9327,0.000478,0.000638,,,,,,,,,,,,,,,,
Alt Àneu,250241,Pallars Sobirà,Alt Pirineu i Aran,2019,405,1,54,2.47,133,54,,,0.00001,0.000005,,,,,,,,,,,,,,,,
Altafulla,430120,Tarragonès,Camp de Tarragona,2019,5243,65,7269,12.4,1386,112,,,0.000661,0.000641,,,,,,,,,,,,,,,,
Amer,170078,Selva,Comarques Gironines,2019,2298,23,1678,10.01,730,73,,,0.000234,0.000148,,,,,,,,,,,,,,,,
"Ametlla de Mar, l'",430136,Baix Ebre,Terres de l'Ebre,2019,6787,130,18261,19.15,2691,140,0.6048,0.2933,0.001322,0.001609,,,,,,,,,,,,,,,,
"Ametlla del Vallès, l'",80057,Vallès Oriental,Metropolità,2019,8462,87,17058,10.28,2016,196,0.3372,0.1504,0.000885,0.001503,,,,,,,,,,,,,,,,
"Ampolla, l'",439060,Baix Ebre,Terres de l'Ebre,2019,3205,58,6008,18.1,1875,104,,,0.00059,0.000529,,,,,,,,,,,,,,,,
Amposta,430141,Montsià,Terres de l'Ebre,2019,20738,379,49456,18.28,2385,130,0.8904,786,0.003855,0.004358,41,34,18,78,54,38,97,19,4247,7355,6394,11313,3423,3184,11696,1844
Anglès,170084,Selva,Comarques Gironines,2019,5599,58,6304,10.36,1126,109,1,1,0.00059,0.000556,,,,,,,,,,,,,,,,
Anglesola,250273,Urgell,Ponent,2019,1363,15,1129,11.01,828,75,,,0.000153,0.000099,,,,,,,,,,,,,,,,
Arbeca,250292,Garrigues,Ponent,2019,2144,25,2142,11.66,999,86,,,0.000254,0.000189,,,,,,,,,,,,,,,,
"Arboç, l'",430167,Baix Penedès,Penedès,2019,5517,60,9179,10.88,1664,153,0.5932,0.4293,0.00061,0.000809,,,,,,,,,,,,,,,,
Arbolí,430154,Baix Camp,Camp de Tarragona,2019,137,1,328,7.3,2394,328,,,0.00001,0.000029,,,,,,,,,,,,,,,,
Arbúcies,170097,Selva,Comarques Gironines,2019,6556,71,7320,10.83,1117,103,,,0.000722,0.000645,,,,,,,,,,,,,,,,
Arenys de Mar,80060,Maresme,Metropolità,2019,15776,195,19052,12.36,1208,98,0.8429,0.5418,0.001984,0.001679,11,14,5,30,31,18,72,14,252,1091,1509,3045,4755,931,6374,1095
Arenys de Munt,80076,Maresme,Metropolità,2019,8931,87,7639,9.74,855,88,0.6667,541,0.000885,0.000673,,,,,,,,,,,,,,,,
Argelaguer,170101,Garrotxa,Comarques Gironines,2019,397,2,100,5.04,252,50,,,0.00002,0.000009,,,,,,,,,,,,,,,,
Argençola,80082,Anoia,Penedès,2019,217,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
"Argentera, l'",430173,Baix Camp,Camp de Tarragona,2019,124,1,253,8.06,2040,253,,,0.00001,0.000022,,,,,,,,,,,,,,,,
Argentona,80095,Maresme,Metropolità,2019,12452,99,8566,7.95,688,87,0.7083,537,0.001007,0.000755,8,4,5,13,12,7,40,10,692,595,734,2063,990,265,2395,832
"Armentera, l'",170118,Alt Empordà,Comarques Gironines,2019,930,8,347,8.6,373,43,,,0.000081,0.000031,,,,,,,,,,,,,,,,
Arnes,430189,Terra Alta,Terres de l'Ebre,2019,455,7,325,15.38,714,46,,,0.000071,0.000029,,,,,,,,,,,,,,,,
Arres,250313,Aran,Alt Pirineu i Aran,2019,65,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Arsèguel,250328,Alt Urgell,Alt Pirineu i Aran,2019,84,1,17,11.9,202,17,,,0.00001,0.000001,,,,,,,,,,,,,,,,
Artés,80109,Bages,Comarques Centrals,2019,5698,57,6188,10,1086,109,,,0.00058,0.000545,,,,,,,,,,,,,,,,
Artesa de Lleida,250334,Segrià,Ponent,2019,1504,21,2821,13.96,1876,134,,,0.000214,0.000249,,,,,,,,,,,,,,,,
Artesa de Segre,250349,Noguera,Ponent,2019,3432,69,13298,20.1,3875,193,,,0.000702,0.001172,,,,,,,,,,,,,,,,
Ascó,430192,Ribera d'Ebre,Terres de l'Ebre,2019,1660,21,2901,12.65,1748,138,,,0.000214,0.000256,,,,,,,,,,,,,,,,
Aspa,250365,Segrià,Ponent,2019,224,2,15,8.93,67,8,,,0.00002,0.000001,,,,,,,,,,,,,,,,
"Avellanes i Santa Linya, les",250371,Noguera,Ponent,2019,449,3,932,6.68,2076,311,,,0.000031,0.000082,,,,,,,,,,,,,,,,
Avià,80116,Berguedà,Comarques Centrals,2019,2226,12,978,5.39,439,82,,,0.000122,0.000086,,,,,,,,,,,,,,,,
Avinyó,80121,Bages,Comarques Centrals,2019,2275,19,1552,8.35,682,82,,,0.000193,0.000137,,,,,,,,,,,,,,,,
Avinyonet de Puigventós,170123,Alt Empordà,Comarques Gironines,2019,1610,10,1648,6.21,1024,165,,,0.000102,0.000145,,,,,,,,,,,,,,,,
Avinyonet del Penedès,80137,Alt Penedès,Penedès,2019,1701,15,912,8.82,536,61,,,0.000153,0.00008,,,,,,,,,,,,,,,,
Badalona,80155,Barcelonès,Metropolità,2019,220440,2108,262785,9.56,1192,125,0.9425,0.8524,0.021443,0.023158,93,77,86,366,324,136,890,136,4557,18133,53913,62978,29186,10924,72271,10823
Badia del Vallès,89045,Vallès Occidental,Metropolità,2019,13380,99,5781,7.4,432,58,,,0.001007,0.000509,2,1,1,7,8,7,64,9,54,1016,148,339,233,190,3332,469
Bagà,80168,Berguedà,Comarques Centrals,2019,2138,36,2056,16.84,962,57,,,0.000366,0.000181,,,,,,,,,,,,,,,,
Baix Pallars,250390,Pallars Sobirà,Alt Pirineu i Aran,2019,335,2,45,5.97,134,23,,,0.00002,0.000004,,,,,,,,,,,,,,,,
Balaguer,250404,Noguera,Ponent,2019,17162,264,31794,15.38,1853,120,0.9225,0.8062,0.002685,0.002802,17,21,7,55,55,18,75,16,1146,6097,2487,8371,4017,1255,6558,1863
Balenyà,80174,Osona,Comarques Centrals,2019,3821,31,5999,8.11,1570,194,,,0.000315,0.000529,,,,,,,,,,,,,,,,
Balsareny,80180,Bages,Comarques Centrals,2019,3159,31,2128,9.81,674,69,,,0.000315,0.000188,,,,,,,,,,,,,,,,
Banyeres del Penedès,430206,Baix Penedès,Penedès,2019,3170,17,1566,5.36,494,92,,,0.000173,0.000138,,,,,,,,,,,,,,,,
Banyoles,170157,Pla de l'Estany,Comarques Gironines,2019,19826,275,35955,13.87,1814,131,829,0.5889,0.002797,0.003168,15,19,15,50,51,29,78,18,748,2160,3386,13717,4410,2131,8043,1360
Barbens,250411,Pla d'Urgell,Ponent,2019,878,8,610,9.11,695,76,,,0.000081,0.000054,,,,,,,,,,,,,,,,
Barberà de la Conca,430213,Conca de Barberà,Camp de Tarragona,2019,473,3,165,6.34,349,55,,,0.000031,0.000015,,,,,,,,,,,,,,,,
Barberà del Vallès,82520,Vallès Occidental,Metropolità,2019,33091,444,75200,13.42,2273,169,0.5913,0.3446,0.004516,0.006627,31,41,17,89,81,45,110,30,8220,13142,15789,11184,9032,5115,10224,2494
Barcelona,80193,Barcelonès,Metropolità,2019,1636762,25859,2438163,15.8,1490,94,0.9945,0.9943,0.263038,0.21486,1810,1084,963,4216,5197,2349,8304,1936,105753,208190,318804,397765,415248,156721,705931,129751
"Baronia de Rialb, la",250426,Noguera,Ponent,2019,237,1,24,4.22,101,24,,,0.00001,0.000002,,,,,,,,,,,,,,,,
Bàscara,170160,Alt Empordà,Comarques Gironines,2019,1004,25,2051,24.9,2043,82,,,0.000254,0.000181,,,,,,,,,,,,,,,,
Bassella,250447,Alt Urgell,Alt Pirineu i Aran,2019,224,1,243,4.46,1085,243,,,0.00001,0.000021,,,,,,,,,,,,,,,,
Batea,430228,Terra Alta,Terres de l'Ebre,2019,1890,29,1779,15.34,941,61,,,0.000295,0.000157,,,,,,,,,,,,,,,,
Bausen,250450,Aran,Alt Pirineu i Aran,2019,58,2,138,34.48,2379,69,,,0.00002,0.000012,,,,,,,,,,,,,,,,
Begues,80207,Baix Llobregat,Metropolità,2019,7098,47,7561,6.62,1065,161,,,0.000478,0.000666,,,,,,,,,,,,,,,,
Begur,170139,Baix Empordà,Comarques Gironines,2019,3925,66,6659,16.82,1697,101,,,0.000671,0.000587,,,,,,,,,,,,,,,,
Belianes,250463,Urgell,Ponent,2019,525,9,685,17.14,1305,76,,,0.000092,0.00006,,,,,,,,,,,,,,,,
Bell-lloc d'Urgell,250485,Pla d'Urgell,Ponent,2019,2315,16,1942,6.91,839,121,,,0.000163,0.000171,,,,,,,,,,,,,,,,
Bellaguarda,251706,Garrigues,Ponent,2019,287,4,84,13.94,293,21,,,0.000041,0.000007,,,,,,,,,,,,,,,,
Bellcaire d'Empordà,170182,Baix Empordà,Comarques Gironines,2019,693,11,2079,15.87,3000,189,,,0.000112,0.000183,,,,,,,,,,,,,,,,
Bellcaire d'Urgell,250479,Noguera,Ponent,2019,1230,11,1780,8.94,1447,162,,,0.000112,0.000157,,,,,,,,,,,,,,,,
Bellmunt d'Urgell,250498,Noguera,Ponent,2019,185,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Bellmunt del Priorat,430234,Priorat,Camp de Tarragona,2019,280,3,80,10.71,286,27,,,0.000031,0.000007,,,,,,,,,,,,,,,,
Bellprat,80214,Anoia,Penedès,2019,64,2,316,31.25,4938,158,,,0.00002,0.000028,,,,,,,,,,,,,,,,
Bellpuig,250501,Urgell,Ponent,2019,5133,74,10261,14.42,1999,139,,,0.000753,0.000904,,,,,,,,,,,,,,,,
Bellvei,430249,Baix Penedès,Penedès,2019,2203,21,4920,9.53,2233,234,,,0.000214,0.000434,,,,,,,,,,,,,,,,
Bellver de Cerdanya,250518,Cerdanya,Alt Pirineu i Aran,2019,1937,42,2981,21.68,1539,71,,,0.000427,0.000263,,,,,,,,,,,,,,,,
Bellvís,250523,Pla d'Urgell,Ponent,2019,2255,35,5059,15.52,2243,145,,,0.000356,0.000446,,,,,,,,,,,,,,,,
Benavent de Segrià,250539,Segrià,Ponent,2019,1499,6,1306,4,871,218,,,0.000061,0.000115,,,,,,,,,,,,,,,,
Benifallet,430252,Baix Ebre,Terres de l'Ebre,2019,739,11,383,14.88,518,35,,,0.000112,0.000034,,,,,,,,,,,,,,,,
Benissanet,430265,Ribera d'Ebre,Terres de l'Ebre,2019,1161,8,365,6.89,314,46,,,0.000081,0.000032,,,,,,,,,,,,,,,,
Berga,80229,Berguedà,Comarques Centrals,2019,16494,280,33951,16.98,2058,121,942,0.8938,0.002848,0.002992,19,26,10,51,52,31,73,18,1945,5432,2377,7013,3235,2350,9915,1684
Besalú,170195,Garrotxa,Comarques Gironines,2019,2492,66,5802,26.48,2328,88,,,0.000671,0.000511,,,,,,,,,,,,,,,,
Bescanó,170209,Gironès,Comarques Gironines,2019,4960,44,6407,8.87,1292,146,,,0.000448,0.000565,,,,,,,,,,,,,,,,
Beuda,170216,Garrotxa,Comarques Gironines,2019,190,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Bigues i Riells,80235,Vallès Oriental,Metropolità,2019,9092,51,3474,5.61,382,68,,,0.000519,0.000306,,,,,,,,,,,,,,,,
Biosca,250557,Segarra,Ponent,2019,176,1,22,5.68,125,22,,,0.00001,0.000002,,,,,,,,,,,,,,,,
"Bisbal d'Empordà, la",170221,Baix Empordà,Comarques Gironines,2019,10974,214,26408,19.5,2406,123,0.9384,804,0.002177,0.002327,9,7,8,65,35,21,59,10,522,3452,2113,9643,2200,1621,5961,896
"Bisbal de Falset, la",430271,Priorat,Camp de Tarragona,2019,216,1,51,4.63,236,51,,,0.00001,0.000004,,,,,,,,,,,,,,,,
"Bisbal del Penedès, la",430287,Baix Penedès,Penedès,2019,3528,15,1533,4.25,435,102,,,0.000153,0.000135,,,,,,,,,,,,,,,,
Biure,172348,Alt Empordà,Comarques Gironines,2019,232,3,378,12.93,1629,126,,,0.000031,0.000033,,,,,,,,,,,,,,,,
Blancafort,430290,Conca de Barberà,Camp de Tarragona,2019,389,2,86,5.14,221,43,,,0.00002,0.000008,,,,,,,,,,,,,,,,
Blanes,170237,Selva,Comarques Gironines,2019,39028,561,72662,14.37,1862,130,0.8723,512,0.005706,0.006403,20,44,25,110,122,40,169,31,1312,12748,5776,16899,6560,2576,23570,3221
Boadella i les Escaules,170293,Alt Empordà,Comarques Gironines,2019,252,2,123,7.94,488,62,,,0.00002,0.000011,,,,,,,,,,,,,,,,
Bolvir,170242,Cerdanya,Alt Pirineu i Aran,2019,369,4,100,10.84,271,25,,,0.000041,0.000009,,,,,,,,,,,,,,,,
Bonastre,430304,Baix Penedès,Penedès,2019,688,5,136,7.27,198,27,,,0.000051,0.000012,,,,,,,,,,,,,,,,
"Bòrdes, Es",250576,Aran,Alt Pirineu i Aran,2019,259,1,96,3.86,371,96,,,0.00001,0.000008,,,,,,,,,,,,,,,,
Bordils,170255,Gironès,Comarques Gironines,2019,1779,11,915,6.18,514,83,,,0.000112,0.000081,,,,,,,,,,,,,,,,
"Borges Blanques, les",250582,Garrigues,Ponent,2019,6087,85,8141,13.96,1337,96,0.9294,0.7789,0.000865,0.000717,,,,,,,,,,,,,,,,
"Borges del Camp, les",430311,Baix Camp,Camp de Tarragona,2019,2037,19,1538,9.33,755,81,,,0.000193,0.000136,,,,,,,,,,,,,,,,
Borrassà,170268,Alt Empordà,Comarques Gironines,2019,714,6,525,8.4,735,88,,,0.000061,0.000046,,,,,,,,,,,,,,,,
Borredà,80240,Berguedà,Comarques Centrals,2019,445,6,352,13.48,791,59,,,0.000061,0.000031,,,,,,,,,,,,,,,,
Bossòst,250595,Aran,Alt Pirineu i Aran,2019,1109,52,4029,46.89,3633,77,,,0.000529,0.000355,,,,,,,,,,,,,,,,
Bot,430326,Terra Alta,Terres de l'Ebre,2019,573,5,215,8.73,375,43,,,0.000051,0.000019,,,,,,,,,,,,,,,,
Botarell,430332,Baix Camp,Camp de Tarragona,2019,1068,7,465,6.55,435,66,,,0.000071,0.000041,,,,,,,,,,,,,,,,
Bovera,250560,Garrigues,Ponent,2019,247,4,68,16.19,275,17,,,0.000041,0.000006,,,,,,,,,,,,,,,,
Bràfim,430347,Alt Camp,Camp de Tarragona,2019,692,3,101,4.34,146,34,,,0.000031,0.000009,,,,,,,,,,,,,,,,
Breda,170274,Selva,Comarques Gironines,2019,3740,45,5266,12.03,1408,117,,,0.000458,0.000464,,,,,,,,,,,,,,,,
"Bruc, el",80253,Anoia,Penedès,2019,2050,13,2236,6.34,1091,172,,,0.000132,0.000197,,,,,,,,,,,,,,,,
"Brull, el",80266,Osona,Comarques Centrals,2019,263,1,404,3.8,1536,404,,,0.00001,0.000036,,,,,,,,,,,,,,,,
Brunyola,170280,Selva,Comarques Gironines,2019,369,4,578,10.84,1566,145,,,0.000041,0.000051,,,,,,,,,,,,,,,,
Cabacés,430350,Priorat,Camp de Tarragona,2019,298,4,131,13.42,440,33,,,0.000041,0.000012,,,,,,,,,,,,,,,,
Cabanabona,250609,Noguera,Ponent,2019,75,1,4,13.33,53,4,,,0.00001,0,,,,,,,,,,,,,,,,
Cabanelles,170314,Alt Empordà,Comarques Gironines,2019,279,2,175,7.17,627,88,,,0.00002,0.000015,,,,,,,,,,,,,,,,
Cabanes,170307,Alt Empordà,Comarques Gironines,2019,948,12,7600,12.66,8017,633,,,0.000122,0.00067,,,,,,,,,,,,,,,,
"Cabanyes, les",80272,Alt Penedès,Penedès,2019,964,15,1254,15.56,1301,84,,,0.000153,0.000111,,,,,,,,,,,,,,,,
Cabó,250616,Alt Urgell,Alt Pirineu i Aran,2019,92,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Cabra del Camp,430363,Alt Camp,Camp de Tarragona,2019,1163,5,221,4.3,190,44,,,0.000051,0.000019,,,,,,,,,,,,,,,,
Cabrera d'Anoia,80288,Anoia,Penedès,2019,1410,4,1671,2.84,1185,418,,,0.000041,0.000147,,,,,,,,,,,,,,,,
Cabrera de Mar,80291,Maresme,Metropolità,2019,4680,87,34305,18.59,7330,394,0.0941,0.0135,0.000885,0.003023,,,,,,,,,,,,,,,,
Cabrils,80305,Maresme,Metropolità,2019,7439,39,3704,5.24,498,95,,,0.000397,0.000326,,,,,,,,,,,,,,,,
Cadaqués,170329,Alt Empordà,Comarques Gironines,2019,2712,64,3986,23.6,1470,62,,,0.000651,0.000351,,,,,,,,,,,,,,,,
Calaf,80312,Anoia,Comarques Centrals,2019,3535,50,4371,14.14,1236,87,,,0.000509,0.000385,,,,,,,,,,,,,,,,
Calafell,430379,Baix Penedès,Penedès,2019,26538,315,32116,11.87,1210,102,0.8896,0.7254,0.003204,0.00283,21,19,28,45,73,23,92,14,940,4795,4050,6637,3610,1377,9634,1073
Calders,80348,Moianès,Comarques Centrals,2019,970,6,862,6.19,889,144,,,0.000061,0.000076,,,,,,,,,,,,,,,,
Caldes d'Estrac,80327,Maresme,Metropolità,2019,2982,23,995,7.71,334,43,,,0.000234,0.000088,,,,,,,,,,,,,,,,
Caldes de Malavella,170335,Selva,Comarques Gironines,2019,7641,53,3610,6.94,472,68,0.8462,0.7463,0.000539,0.000318,,,,,,,,,,,,,,,,
Caldes de Montbui,80333,Vallès Oriental,Metropolità,2019,17554,235,25352,13.39,1444,108,0.9127,0.7743,0.00239,0.002234,14,22,5,42,42,21,72,17,1073,5695,582,4190,2364,1529,8638,1281
Calella,80351,Maresme,Metropolità,2019,19069,384,31720,20.14,1663,83,0.9947,0.9955,0.003906,0.002795,11,8,35,53,110,38,106,23,534,1399,3492,3616,7707,2151,11002,1819
Calldetenes,80370,Osona,Comarques Centrals,2019,2489,24,1685,9.64,677,70,,,0.000244,0.000148,,,,,,,,,,,,,,,,
Callús,80386,Bages,Comarques Centrals,2019,2140,17,1220,7.94,570,72,,,0.000173,0.000108,,,,,,,,,,,,,,,,
Calonge,80364,Baix Empordà,Comarques Gironines,2019,10897,119,19115,10.92,1754,161,0.7778,0.6827,0.00121,0.001684,8,12,8,18,8,8,43,14,1727,1580,1292,4839,429,425,7528,1295
Calonge de Segarra,170340,Anoia,Comarques Centrals,2019,188,1,10,5.32,53,10,,,0.00001,0.000001,,,,,,,,,,,,,,,,
Camarasa,250621,Noguera,Ponent,2019,817,9,955,11.02,1169,106,,,0.000092,0.000084,,,,,,,,,,,,,,,,
Camarles,439039,Baix Ebre,Terres de l'Ebre,2019,3224,42,4374,13.03,1357,104,,,0.000427,0.000385,,,,,,,,,,,,,,,,
Cambrils,430385,Baix Camp,Camp de Tarragona,2019,33898,464,44954,13.69,1326,97,0.9227,0.8328,0.00472,0.003962,29,33,19,75,127,41,118,22,1350,5251,3543,8025,6617,2599,15540,2029
Camós,170353,Pla de l'Estany,Comarques Gironines,2019,693,2,100,2.89,144,50,,,0.00002,0.000009,,,,,,,,,,,,,,,,
Campdevànol,170366,Ripollès,Comarques Gironines,2019,3223,34,7615,10.55,2363,224,,,0.000346,0.000671,,,,,,,,,,,,,,,,
Campelles,170372,Ripollès,Comarques Gironines,2019,139,1,169,7.19,1216,169,,,0.00001,0.000015,,,,,,,,,,,,,,,,
Campins,80399,Vallès Oriental,Metropolità,2019,529,2,107,3.78,202,54,,,0.00002,0.000009,,,,,,,,,,,,,,,,
Campllong,170388,Gironès,Comarques Gironines,2019,547,5,1363,9.14,2492,273,,,0.000051,0.00012,,,,,,,,,,,,,,,,
Camprodon,170391,Ripollès,Comarques Gironines,2019,2281,68,4148,29.81,1819,61,,,0.000692,0.000366,,,,,,,,,,,,,,,,
Canejan,250637,Aran,Alt Pirineu i Aran,2019,107,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Canet d'Adri,170405,Gironès,Comarques Gironines,2019,723,3,210,4.15,290,70,,,0.000031,0.000019,,,,,,,,,,,,,,,,
Canet de Mar,80403,Maresme,Metropolità,2019,14526,168,13487,11.57,928,80,0.9693,0.8592,0.001709,0.001189,15,13,9,22,29,15,56,9,1413,3379,1274,2017,1217,529,2948,710
"Canonja, la",439076,Tarragonès,Camp de Tarragona,2019,5893,49,5497,8.31,933,112,0.7872,0.3889,0.000498,0.000484,,,,,,,,,,,,,,,,
