Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,14.89,70.57,14.55,104.0,9.0,19.0,20.0,40.0,
080193,Barcelona,12.47,66.87,20.65,177.0,12.0,17.0,31.0,48.0,
080569,Castelldefels,17.51,72.39,10.10,61.0,10.0,23.0,14.0,36.0,
082665,Cerdanyola del Vallès,16.18,72.32,11.50,76.0,10.0,21.0,16.0,36.0,
080734,Cornellà de Llobregat,14.41,68.69,16.90,125.0,9.0,20.0,24.0,44.0,
080771,Esplugues de Llobregat,13.76,70.93,15.31,119.0,9.0,18.0,21.0,39.0,
170792,Girona,17.43,68.59,13.97,85.0,13.0,24.0,20.0,44.0,
080961,Granollers,16.29,69.61,14.10,92.0,10.0,22.0,20.0,42.0,
081017,"Hospitalet de Llobregat, l'",12.82,69.35,17.82,148.0,9.0,17.0,25.0,43.0,
251207,Lleida,15.95,68.06,15.98,107.0,11.0,22.0,23.0,45.0,
081136,Manresa,14.45,65.38,20.17,148.0,12.0,21.0,30.0,51.0,
081213,Mataró,15.76,69.76,14.49,98.0,11.0,21.0,20.0,41.0,
081249,Mollet del Vallès,17.18,71.52,11.30,69.0,10.0,22.0,16.0,38.0,
081691,"Prat de Llobregat, el",15.17,71.25,13.58,96.0,9.0,20.0,19.0,38.0,
431233,Reus,17.07,67.82,15.11,95.0,11.0,23.0,22.0,45.0,
081846,Rubí,16.83,71.28,11.89,75.0,10.0,22.0,16.0,38.0,
081878,Sabadell,15.56,67.73,16.71,114.0,10.0,21.0,24.0,46.0,
082009,Sant Boi de Llobregat,15.50,70.57,13.93,95.0,9.0,20.0,19.0,40.0,
082055,Sant Cugat del Vallès,22.23,67.85,9.91,47.0,13.0,31.0,14.0,45.0,
082457,Santa Coloma de Gramenet,13.85,70.71,15.44,119.0,9.0,18.0,22.0,40.0,
431482,Tarragona,16.31,68.52,15.17,99.0,10.0,22.0,22.0,44.0,
082798,Terrassa,16.46,68.31,15.22,98.0,10.0,22.0,22.0,44.0,
083015,Viladecans,16.94,72.01,11.05,69.0,8.0,22.0,15.0,37.0,
083073,Vilanova i la Geltrú,16.05,68.06,15.89,105.0,9.0,22.0,23.0,45.0,
,Catalunya,15.15,68.26,16.59,116.5,11.2,20.6,24.0,44.6,

