Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,15.28,70.81,13.91,99.0,9.0,20.0,19.0,39.0,
080193,Barcelona,12.49,65.45,22.06,190.0,11.0,17.0,33.0,51.0,
080569,Castelldefels,..,..,..,..,..,..,..,..,
082665,Cerdanyola del Vallès,16.58,73.27,10.14,66.0,9.0,21.0,14.0,34.0,
080734,Cornellà de Llobregat,13.73,70.90,15.37,121.0,8.0,18.0,21.0,39.0,
080771,Esplugues de Llobregat,14.02,72.45,13.53,106.0,10.0,17.0,18.0,36.0,
170792,Girona,17.36,67.35,15.29,94.0,10.0,24.0,22.0,46.0,
080961,Granollers,16.75,69.30,13.94,89.0,9.0,22.0,20.0,42.0,
081017,"Hospitalet de Llobregat, l'",12.29,70.49,17.21,152.0,8.0,16.0,24.0,40.0,
251207,Lleida,15.85,67.27,16.88,115.0,9.0,22.0,25.0,46.0,
081136,Manresa,13.60,64.68,21.72,173.0,11.0,19.0,33.0,52.0,
081213,Mataró,16.26,68.77,14.97,100.0,11.0,21.0,21.0,43.0,
081249,Mollet del Vallès,..,..,..,..,..,..,..,..,
081691,"Prat de Llobregat, el",15.99,72.03,11.97,81.0,9.0,20.0,16.0,36.0,
431233,Reus,16.62,67.64,15.74,102.0,10.0,22.0,23.0,45.0,
081846,Rubí,17.19,71.09,11.72,74.0,9.0,22.0,16.0,38.0,
081878,Sabadell,15.46,67.75,16.79,117.0,9.0,21.0,24.0,45.0,
082009,Sant Boi de Llobregat,15.86,71.66,12.48,85.0,9.0,20.0,17.0,37.0,
082055,Sant Cugat del Vallès,20.15,69.47,10.39,55.0,12.0,27.0,15.0,42.0,
082457,Santa Coloma de Gramenet,13.48,72.84,13.68,110.0,9.0,17.0,19.0,35.0,
431482,Tarragona,16.21,68.55,15.25,102.0,9.0,22.0,22.0,43.0,
082798,Terrassa,16.01,67.96,16.03,107.0,10.0,22.0,23.0,45.0,
083015,Viladecans,17.25,73.09,9.66,60.0,8.0,22.0,13.0,35.0,
083073,Vilanova i la Geltrú,15.50,68.05,16.45,115.0,9.0,21.0,24.0,45.0,
,Catalunya,14.92,67.78,17.30,124.9,10.2,20.1,25.1,45.3,

